stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1884.44,31020.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212.37,0,0,0,0,0,0,0,0,0,0
  5-6,2071.82,24034.3,0,18.39,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,0,429.07,30.65,0,0,183.89,0,331,0,0,0,0,0,0,0,0,0,0
  7-9,113.03,157.72,0,262.87,0,2.63,0,478.43,0,0,0,0,0,486.31,0,0,0,0,0,0,0,0,0,0,5733.22,94.63,0,0,2037.25,0,26.29,36.8,0,0,0,0,0,0,0,0,0
 10-12,3.15,53.5,0,107,0,15.73,0,229.73,0,0,0,0,0,116.44,0,0,0,0,0,0,0,0,0,3.15,1526.28,97.56,0,0,698.63,0,3.15,9.44,3.15,75.53,9.44,6.29,0,0,0,0,0
 14-21,0,0,0,9,76,18,0,63,0,1,0,10,5,3,1,0,0,0,0,0,34,2,0,36,656,24,3,3,25,0,6,0,73,0,70,190,0,0,1,0,0
 24-34,0,0,0,0.82,23.8,5.75,0,116.56,0,2.46,0,9.85,2.46,0,0.82,0,1.64,0,0.82,1.64,71.41,0,0,25.45,731.38,1.64,2.46,4.93,0.82,0.82,12.31,0,0,0,6.57,167.45,0,0,9.03,0,0.82
 36-46,0,0,0,0.81,12.09,0.81,0,268.29,0,0.81,4.03,36.26,0.81,0,1.61,0.81,0,0.81,2.42,0,87.01,0,3.22,26.59,664.68,1.61,0.81,3.22,0,0,5.64,0,0.81,0.81,0,150.66,0,0,2.42,0,0
 48-58,0,0,0,1.15,6.31,0.57,0,176.16,0,1.15,4.59,41.31,1.15,0,0,1.15,0,1.15,1.72,1.15,90.66,0,3.44,26.97,285.18,2.3,0.57,2.87,0,0,4.02,0,0,0,0,60.25,0,0,4.59,0,0
 60-70,0,0,0.98,0,19.63,0.98,0,141.34,0,1.96,6.87,38.28,1.96,0,0,2.94,0.98,0,1.96,0.98,78.52,0.98,1.96,14.72,127.6,3.93,0.98,1.96,0,0.98,4.91,0,0,0,0,25.52,0,0,3.93,0.98,0.98
 72-82,0,0,0,0,6.87,0,0,62.83,0.98,0,10.8,32.39,0.98,0,1.96,3.93,1.96,0.98,0.98,1.96,93.26,0,3.93,27.49,101.11,0,0.98,8.83,0,0.98,18.65,0,0,0.98,0,8.83,0,2.94,6.87,1.96,0.98
 84-94,0,0,0,0,19.12,3.19,0,48.85,0,1.06,3.19,18.05,2.12,1.06,0,2.12,4.25,2.12,1.06,0,73.28,0,6.37,8.5,56.29,4.25,2.12,5.31,0,1.06,44.61,0,0,1.06,0,10.62,2.12,1.06,6.37,3.19,0
 96-106,0,0,0,0,24.04,1.09,0,22.95,1.09,2.19,4.37,18.58,4.37,0,2.19,4.37,1.09,3.28,1.09,0,52.46,0,3.28,10.93,55.74,0,1.09,5.46,0,0,31.69,0,0,1.09,0,7.65,2.19,2.19,9.84,2.19,1.09
108-118,0,0,0,0,23.74,3.06,1.53,26.04,0,3.83,2.3,15.32,3.83,0,1.53,3.83,2.3,0.77,2.3,0.77,35.23,0,2.3,8.43,56.68,3.83,1.53,0.77,0,1.53,31.4,0,0,0.77,0,0.77,0.77,0,8.43,0,3.06
120,0,0,0,0,37.24,9.8,0,29.4,0,7.84,1.96,31.36,1.96,0,0,9.8,0,0,1.96,0,31.36,0,0,25.48,64.67,3.92,5.88,5.88,0,0,21.56,0,0,3.92,0,0,0,0,11.76,1.96,0
