stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,1,0,0,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,2.46,0,4.1,0,3.28,0.82,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,0.57,0.57,0,1.15,0,0.57,4.59,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,2.94,1.96,0,0.98,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
