stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,292.67,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,890.59,0,0,0,9.44,0,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,1,2,52,50,183,0,0,0,111,1,1,2,0,4,0,1,0,0,5,0,0,4,1879,1,1,19,1,0,3,4,1,0,8,260,0,0,0,0
 24-34,0,0,0,0.82,25.45,4.93,152.68,0,1.64,0.82,77.16,0,1.64,0.82,0.82,3.28,0.82,6.57,0.82,0,9.85,1.64,0,4.93,1513.66,0.82,2.46,22.16,0,0,15.6,0,0.82,1.64,5.75,273.35,0,3.28,0,0
 36-46,0,0,0.81,0,7.25,0,98.29,0.81,0,0,86.21,0,0,0,0.81,0.81,0,8.06,0,0,4.03,0,0,0.81,1179.5,0,0.81,24.17,0,0,4.03,0,0,0,0,229.62,0,0,0,0
 48-58,0,0,0,0,6.89,1.15,104.43,0,0.57,2.3,138.29,0,1.15,0,0,1.15,0,12.62,0,1.15,9.18,0,0,1.15,987.52,1.15,0,22.95,0,0.57,4.02,0,0,0,0,132.55,0,1.15,0,0.57
 60-70,0,0,0,0,8.83,0.98,90.3,0,0.98,0,131.52,0,0,0,0,0,0,13.74,0,0,8.83,0,0.98,1.96,809.76,0,0,8.83,0,0,1.96,0,0,0,0,57.91,0.98,0,0,0
 72-82,0,0,1.96,0,21.6,2.94,133.51,0,0,2.94,197.31,1.96,0,0,1.96,0,0,30.43,0.98,0,23.56,0,0.98,0.98,821.65,0,0.98,30.43,0,0,2.94,0,0,0,0,53.99,12.76,1.96,0.98,0
 84-94,0,0,0,0,14.87,1.06,150.81,1.06,3.19,1.06,123.2,3.19,0,0,1.06,2.12,0,43.54,0,0,13.81,0,2.12,0,495.97,0,4.25,33.99,0,0,2.12,0,0,0,0,42.48,60.54,1.06,1.06,1.06
 96-106,0,0,1.09,0,25.14,6.56,136.61,0,0,2.19,121.31,5.46,0,0,3.28,1.09,0,41.53,3.28,1.09,12.02,0,1.09,2.19,365.01,2.19,1.09,39.34,0,0,10.93,0,1.09,0,0,28.41,100.54,1.09,0,1.09
108-118,0,0,2.3,0,13.79,0.77,88.09,0,1.53,0,120.26,1.53,0,0,1.53,0.77,0,32.17,0.77,0,12.26,0,0.77,0,493.28,0.77,0.77,23.74,0,0,7.66,0,0.77,0,0,18.38,86.55,1.53,0.77,0
120,1.96,0,0,0,11.76,7.84,96.03,0,0,0,115.63,0,0,0,1.96,0,0,9.8,1.96,0,1.96,0,0,1.96,431.15,0,0,21.56,0,0,5.88,0,0,0,0,19.6,13.72,0,0,0
