stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,76.23,5.26,0,0,81.49,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,0,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,242.32,12.59,0,0,72.38,0,9.44,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,22,10,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0,8,124,2,1,0,2,0,3,9,2,0,15,43,0,0,3,0,2
 24-34,0,0,2.46,0,5.75,4.1,0,54.18,0,0,0,8.21,0.82,0,1.64,0,0.82,0.82,0,0.82,0.82,29.55,0,0,7.39,380.88,4.1,3.28,0.82,0,2.46,0,0,0,0,5.75,67.31,0,0,5.75,0,0.82
 36-46,0,0,0,0,3.22,0.81,0,125.68,0,0.81,0,12.09,0.81,0,0.81,0,0,0,0.81,0.81,0,39.48,0,0.81,10.47,433.45,5.64,4.03,1.61,0,3.22,0,0,0.81,0,0,102.32,0,0,2.42,0,0.81
 48-58,0,0,0,0,4.59,0,0,153.78,0,1.15,4.02,22.95,0,0,0,0.57,0,0.57,0.57,0,1.15,59.68,0,0.57,10.9,317.31,1.15,1.72,1.15,0,2.87,0.57,0,0.57,1.15,0,56.23,0,1.15,2.3,0.57,2.3
 60-70,0,0,0,0,13.74,0.98,0,253.23,0,0,2.94,41.22,0,0,0,2.94,1.96,0.98,0,0,0,78.52,0,0.98,9.82,411.26,1.96,4.91,1.96,0,1.96,0,0,0,0,0,50.06,0,0.98,4.91,0,1.96
 72-82,0,0,0.98,0,11.78,4.91,0,160.99,0,0.98,2.94,39.27,1.96,0,1.96,1.96,1.96,0,3.93,0.98,0,73.62,2.94,4.91,10.8,237.56,0.98,1.96,3.93,0,6.87,0,0,0.98,0,0,17.67,0,2.94,10.8,0.98,0
 84-94,0,0,1.06,0,9.56,5.31,1.06,105.14,1.06,4.25,4.25,14.87,3.19,0,0,4.25,1.06,2.12,0,1.06,1.06,46.73,3.19,6.37,9.56,126.38,3.19,0,6.37,0,8.5,0,0,0,0,0,19.12,0,0,5.31,2.12,0
 96-106,0,0,0,0,4.37,2.19,1.09,73.22,0,1.09,3.28,21.86,0,0,2.19,4.37,2.19,1.09,0,0,0,45.9,1.09,3.28,6.56,85.24,0,5.46,5.46,0,7.65,0,0,1.09,0,0,7.65,1.09,1.09,6.56,2.19,0
108-118,0,0,0.77,0.77,14.55,4.6,1.53,45.96,0.77,1.53,2.3,13.79,0,0,0.77,1.53,1.53,1.53,1.53,2.3,0,29.11,0,0,1.53,92.68,2.3,4.6,3.06,0,6.13,0,0,0.77,1.53,0,3.06,0,0,6.89,2.3,2.3
120,0,0,0,0,17.64,17.64,0,48.99,0,3.92,0,25.48,5.88,0,1.96,7.84,1.96,0,1.96,0,0,25.48,0,0,5.88,127.39,0,3.92,5.88,0,11.76,0,0,0,1.96,0,3.92,0,0,5.88,3.92,0
