stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,12,0,1,3,2,4,0,1,10,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,1.64,0,0.82,0,0,0.82,0,0,0,0,22.16,0.82,0,0,4.93,0,0.82,0,3.28,0,0,0,0
 36-46,0,0,0,0,0.81,5.64,0,0,7.25,0,0,0,0.81,22.56,0.81,0,0,0,31.42,0,0,0,1.61,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,8.03,0,0,10.9,0,0.57,1.15,0,39.02,0,0,0,0,53.94,0,0,0,0.57,0,0.57,0,9.18,0,0,0.57,0
 60-70,0,0,0,0,0,22.58,0,0.98,5.89,0,0.98,1.96,0,10.8,1.96,0,0,0,147.23,0,0.98,0,0.98,0,0,0,25.52,0,0,0,0.98
 72-82,0,0,0,1.96,0.98,29.45,0,0,12.76,0,0.98,7.85,0,24.54,6.87,0,0,0,226.76,0,0,0,0.98,0,0,0,14.72,0,0,0,0
 84-94,0,1.06,0,2.12,0,26.55,0,0,6.37,0,0,25.49,0,46.73,0,1.06,0,0,114.7,0,0,0,3.19,0,0,0,15.93,0,1.06,2.12,1.06
 96-106,0,1.09,0,3.28,1.09,19.67,0,1.09,4.37,0,0,19.67,0,24.04,0,0,1.09,1.09,110.38,0,0,0,1.09,0,0,0,5.46,0,0,1.09,2.19
108-118,0,0,0,3.06,1.53,14.55,0.77,0,1.53,0.77,0,47.49,0.77,24.51,5.36,0,0,0,154.72,0,0,0,0,0,0.77,0.77,0.77,0.77,0,0.77,4.6
120,0,0,0,1.96,0,15.68,0,0,0,0,0,27.44,0,13.72,0,0,0,0,127.39,0,0,0,0,0,0,0,0,0,0,0,1.96
