stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,10.51,0,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,247.1,2.63,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.82,9.44,0,0,62.94,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,21,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,5,52,1,0,0,1,0,1,5,0,0,4,17,0,0,1,0,0
 24-34,0,0,1.64,10.67,0,0,11.49,0,0,1.64,2.46,0,0,0,0.82,0.82,0,0.82,0,0.82,17.24,0,0,6.57,90.29,2.46,0.82,1.64,0,0,2.46,0,0,0,0.82,28.73,0,0,4.93,0,1.64
 36-46,0,0,0,2.42,0,0,8.86,0,0,0,0.81,0,0,0.81,0.81,0,1.61,0,0,1.61,19.34,0,0,8.06,142.6,0.81,2.42,3.22,0,0,2.42,0,0,0,0,44.31,0,0.81,0,0,0
 48-58,0,0,0,5.16,0,0,17.79,0.57,1.15,1.72,6.89,0.57,0,0.57,0,0,0.57,0.57,0.57,0,27.54,0.57,1.15,4.02,109.6,0,1.15,1.15,0,0,0.57,0,0.57,0,0,38.44,0,0,3.44,0,1.15
 60-70,0,0,0,3.93,0,0,56.93,0,1.96,1.96,14.72,0,0,0,0,0,0,0.98,0,0,43.19,0,0,1.96,200.23,0.98,0.98,0.98,0,0.98,2.94,0,0.98,0,0,27.48,0,0.98,3.93,0,1.96
 72-82,0,0,0,9.82,0.98,0,95.22,0,0,1.96,20.61,0,0,0,1.96,0,0,1.96,0,0.98,43.19,0,0.98,1.96,225.78,0,1.96,2.94,0,0,0.98,0,0.98,0.98,0,27.49,0.98,0,9.82,0.98,0.98
 84-94,0,0,0,7.43,1.06,0,74.34,0,1.06,3.19,13.81,0,1.06,1.06,0,1.06,1.06,1.06,0,1.06,38.23,1.06,0,2.12,143.38,1.06,2.12,1.06,0,0,3.19,0,0,0,0,14.87,0,1.06,3.19,2.12,0
 96-106,0,0,0,14.21,0,0,54.64,0,3.28,4.37,17.49,1.09,0,1.09,2.19,0,1.09,2.19,1.09,2.19,30.6,1.09,1.09,1.09,132.23,1.09,3.28,3.28,0,0,14.21,0,0,0,0,9.84,1.09,1.09,6.56,2.19,2.19
108-118,0,0,0,12.26,0,0.77,50.55,0,3.83,3.06,13.02,0.77,0,1.53,1.53,1.53,0.77,0,0,0.77,20.68,0,0,1.53,144,0,4.6,0,0,0.77,1.53,0,0,0,0,4.6,1.53,1.53,4.6,2.3,0.77
120,0,0,0,31.36,3.92,0,60.75,0,7.84,0,17.64,0,0,0,0,0,1.96,0,1.96,0,19.6,1.96,1.96,3.92,162.66,1.96,1.96,1.96,0,1.96,3.92,0,0,0,0,9.8,0,0,7.84,3.92,0
