stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,22.03,0,3.15,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,3,24,0,0,2,0,0,2,5,0,2,16,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,4.93,0,0,1.64,0,0,0.82,0,0,0,0,0,15.6,0,0,5.75,44.33,0,1.64,0,0,0,1.64,0,0,0.82,12.31,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,3.22,0.81,0.81,4.03,0,0,0.81,0,0.81,0,0,0.81,22.56,0.81,1.61,5.64,24.17,0,0,1.61,0,0,1.61,0,0,0,20.14,0,0,4.83,0,1.61
 48-58,0,0,0,3.44,0,7.46,0.57,1.15,8.61,0,0,1.15,0,0,0,0.57,0,21.8,0,2.3,5.16,25.25,0,0,1.15,0,0,0,0,0,0,11.48,0,0,2.87,0,0
 60-70,0,0,0,3.93,0,12.76,0.98,0.98,3.93,0,0,1.96,0,0,0.98,0,0,49.08,0,0.98,1.96,12.76,0.98,0.98,1.96,0,0,0,0,0,0,3.93,0,0.98,1.96,0,0
 72-82,0,0,0,3.93,3.93,14.72,0,6.87,16.69,0,0,1.96,0,0,0,0.98,0.98,61.84,0.98,0.98,6.87,14.72,0.98,0,2.94,0,0.98,2.94,0,0.98,0,4.91,0,0,1.96,1.96,0.98
 84-94,0,0,0,15.93,3.19,13.81,0,0,20.18,0,0,0,3.19,0,1.06,1.06,1.06,52.04,0,4.25,3.19,12.74,1.06,0,2.12,0,0,5.31,0,0,0,6.37,1.06,2.12,7.43,1.06,1.06
 96-106,0,1.09,0,8.74,3.28,9.84,3.28,3.28,22.95,1.09,0,3.28,5.46,3.28,2.19,2.19,1.09,99.45,2.19,4.37,5.46,17.49,1.09,1.09,5.46,0,5.46,5.46,0,1.09,0,4.37,2.19,1.09,7.65,5.46,0
108-118,0,0,0,3.83,0.77,8.43,3.83,0.77,11.49,0.77,0,0.77,3.83,0,0.77,0.77,0,42.89,0.77,0.77,3.06,19.15,0.77,2.3,4.6,0,2.3,2.3,0,0,0,0.77,0.77,0,7.66,2.3,1.53
120,0,0,0,7.84,3.92,7.84,0,0,13.72,1.96,0,0,9.8,0,1.96,0,0,37.24,0,0,3.92,17.64,0,0,0,0,0,0,0,0,0,0,1.96,3.92,5.88,1.96,0
