stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,922.46,2925.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,821.37,2151.5,12.26,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,159.37,85.81,0,0,116.46,159.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,165.61,55.2,49.95,0,0,13.14,0,0,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0,1114.57,517.86,0,0,2681.29,18.4,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,81.82,160.5,0,9.44,44.06,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,2882.62,264.35,0,0,2873.18,0,6.29,9.44,62.94,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,1,69,3,42,3,0,8,8,0,11,0,2,0,0,0,0,64,1,0,95,851,128,0,6,446,3,0,261,2,1,773,555,0,0,0,0,0
 24-34,0,0,0,45.97,0,170.74,59.1,1.64,12.31,0,0,0,0,0.82,0,0,0,0,27.09,0.82,0,74.7,448.19,13.13,3.28,21.34,0,4.1,0,1.64,2.46,0,62.39,73.06,0,0,2.46,0,0.82
 36-46,0,0,0,20.14,0,130.52,59.62,0.81,4.83,0,0,1.61,0,0.81,0,0,0,0,24.17,0,0,21.75,206.25,0.81,1.61,10.47,0,0,0,0,0,0,0,36.26,0,0,0.81,0,0
 48-58,0,0,0,12.62,0,151.48,76.32,1.15,7.46,0,0.57,0,0,0,0,0.57,0,0,17.79,0,0,16.07,116.48,0,2.3,5.16,0,0,0,0,0,0.57,0,19.51,0,0,0,0,0
 60-70,0,0,0,9.82,0,47.11,75.58,1.96,19.63,0,0,0,0,0,0,0,0,0,10.8,0,2.94,11.78,69.69,0,2.94,5.89,0,2.94,0,0,0,0,0,10.8,0,0.98,0,0,0
 72-82,0,0,0,25.52,0,35.34,90.31,2.94,43.19,0.98,0,0,0,0,0.98,0.98,0,0.98,23.56,0,0.98,27.49,82.46,0,6.87,15.71,0,0.98,0,0,0,0,0,11.78,0,0,0,0.98,0
 84-94,0,0,0,30.8,0,19.12,162.49,0,21.24,1.06,0,0,0,0,0,0,0,0,9.56,0,2.12,11.68,45.67,0,2.12,9.56,0,1.06,0,0,0,0,0,4.25,1.06,0,0,2.12,0
 96-106,0,0,1.09,43.71,0,22.95,184.69,1.09,42.62,1.09,0,0,1.09,1.09,0,1.09,0,0,17.49,1.09,0,13.11,55.74,1.09,7.65,8.74,0,1.09,0,0,0,0,0,4.37,0,1.09,0,2.19,0
108-118,0,0,0.77,48.26,0.77,18.38,216.77,2.3,35.23,0.77,0,0,0,6.13,0,0.77,0,0,20.68,0.77,0,10.72,65.87,0,9.19,15.32,0,0.77,0,0,0,0,0,5.36,0,0.77,0,1.53,0
120,1.96,0,0,25.48,0,15.68,146.98,1.96,27.44,0,0,0,0,0,0,0,1.96,0,13.72,0,0,9.8,68.59,0,1.96,11.76,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0
