stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,7,2,1,0,0,71,0,0,0,0,0,0,0,4,0,2,36,1,0,5,2,0,1,3,60,0,6,283,0,0,0
 24-34,0,0,0,0,1.64,0,2.46,0,0,88.65,0,0,0.82,0,0,0.82,0,4.93,0,0,47.61,1.64,5.75,1.64,0,1.64,0,0,61.56,0.82,2.46,241.33,1.64,0,0
 36-46,0,0,0,0,1.61,0,3.22,0,0,48.34,0,0,0,0,0,0,0,0.81,0,0.81,61.23,0,4.83,0,0,0.81,0,0,28.2,0,0,129.71,0,0,0
 48-58,0,0,0,0,0.57,0,6.89,0,0,65.99,0,0,0,0,0,0.57,0,1.15,0,0,41.31,0,5.74,1.15,0,0,0,0,9.75,0,0,127.38,0.57,0,0
 60-70,0,0,0,0,0,0,4.91,0.98,0,53,0,0,0,0,0,0,0,0,0,0,40.24,0,5.89,0,0,0,0,0,5.89,0,0,67.73,0,0,0
 72-82,0,0,0,0,0,0,11.78,0.98,0,95.22,0.98,0,0,0,0.98,0,0,4.91,0,0.98,45.16,0,4.91,2.94,0,0,0,0,3.93,0,0,60.86,0.98,0.98,0.98
 84-94,0,0,0,2.12,3.19,0,10.62,1.06,0,64.78,0,0,1.06,1.06,1.06,0,0,1.06,1.06,0,20.18,1.06,15.93,2.12,0,0,0,0,12.74,0,0,59.47,0,0,0
 96-106,0,0,0,4.37,0,0,7.65,0,0,56.83,0,0,0,0,2.19,0,1.09,5.46,0,0,15.3,0,10.93,6.56,0,0,0,0,10.93,0,0,57.92,1.09,0,0
108-118,0,0,0,2.3,3.83,0,8.43,0.77,0.77,48.26,0,0,0,0,0.77,0,0,1.53,0,0,15.32,0.77,11.49,5.36,0,0,0,0,9.96,0,0,39.83,0.77,0,0
120,0,0,0,1.96,0,0,1.96,0,0,27.44,0,0,0,0,0,0,0,1.96,0,1.96,15.68,0,0,0,0,0,0,0,9.8,0,0,23.52,1.96,0,0
