stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,olfactory,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,2,0,3,0,1,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,1.64,3.28,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,2.87,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,0,4.91,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0,0,2.94,0.98,0,0.98
 84-94,0,0,1.06,1.06,0,0,0,1.06,0,1.06,0,3.19,0,0,0
 96-106,0,0,0,0,0,3.28,0,0,0,0,0,4.37,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0.77,0.77,0,3.83,0,0,0
120,0,0,1.96,0,0,3.92,0,0,0,0,0,5.88,1.96,0,1.96
