stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,neural,olfactory,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0
 24-34,1.64,0,0,0,0,0,0,0,0,0.82,5.75,0
 36-46,0.81,0,0,0,0,0,0,0.81,0.81,0,2.42,0
 48-58,0,0,0,0,0,0,0,0,1.72,0,1.15,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,1.96,0,0.98,0.98,0,0,0,1.96,0,1.96,0.98
 84-94,1.06,0,0,0,0,0,2.12,0,1.06,0,6.37,0
 96-106,2.19,0,0,0,0,0,0,0,2.19,0,8.74,0
108-118,0.77,0,0.77,0,0,0,0,0,0,0,6.13,0
120,0,0,0,0,0,1.96,0,0,0,0,9.8,0
