stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,1.96,0,151.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,9.82,0.98,768.64,0.98,0.98,3.93,1.96,1.96,0,0,1.96,0,0.98,12.76,0,0,0,30.43,0.98,0,1.96,0,0,0.98,0,0,0.98,0,4.91,2.94,0.98
 84-94,11.68,1.06,799.71,0,0,1.06,3.19,1.06,0,0,0,0,0,6.37,1.06,0,2.12,6.37,0,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0
 96-106,4.37,0,697.24,2.19,0,0,8.74,2.19,1.09,1.09,1.09,1.09,0,10.93,0,0,4.37,20.76,0,4.37,0,0,0,3.28,0,1.09,0,0,2.19,0,1.09
108-118,4.6,0.77,543.07,0,0,0.77,2.3,0.77,0.77,0,0,0,0.77,10.72,0,0,0,21.45,0.77,0.77,0.77,0,0,2.3,0,0,0,0.77,0.77,0,0
120,13.72,3.92,644.77,1.96,0,0,1.96,1.96,0,0,0,1.96,0,3.92,1.96,1.96,0,39.2,0,0,0,0,0,7.84,0,1.96,1.96,0,1.96,0,0
