stage,erythrocytes,exocrine_pancreas,glial,liver,mesenchyme,mural_cell,neural,notochord,olfactory,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,1.15,0,0
 60-70,0,0,0,3.93,0,0,0.98,0,0.98,0.98,0.98,0
 72-82,0,0,0,13.74,0,0,2.94,0,0.98,0,0,0
 84-94,0,0,1.06,59.47,1.06,0,1.06,1.06,0,0,0,0
 96-106,2.19,0,2.19,55.74,1.09,1.09,12.02,0,2.19,1.09,0,1.09
108-118,0,0,1.53,127.15,0.77,0,8.43,0.77,0.77,0,0,0
120,0,1.96,0,21.56,0,0,1.96,0,1.96,0,0,0
