stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961.99,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,57.83,0,0,0,10.51,84.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.18,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,141.61,3.15,0,0,22.03,40.91,3.15,0,12.59,3.15,0,0,0,0,0,0
 14-21,0,0,2,11,82,3,0,0,0,0,2,3,2,0,0,7,0,0,1,1,1,1,11,0,2,2,0,376,0,4,4,1,1,0,0,0,0,0
 24-34,0,0,0.82,2.46,27.91,0,0,0.82,1.64,0.82,1.64,0.82,0.82,0,0.82,9.85,0,2.46,0,0,7.39,2.46,63.21,0.82,8.21,4.1,0,523.71,0,0,4.93,0,2.46,0,0,0,0,0
 36-46,0,0,0,0.81,16.92,0,0,2.42,2.42,0,0,4.03,0,0.81,0,1.61,0,2.42,0,0.81,7.25,0.81,88.62,0,3.22,4.03,0,401.22,0,0,1.61,0,4.83,0,0,0,0,0.81
 48-58,0,0,0,0,16.64,0.57,0,5.16,3.44,0,2.3,1.15,0.57,0,0,1.15,0,3.44,0.57,1.15,4.02,0.57,57.38,0,3.44,1.15,0,311.58,0,0,0.57,0,1.72,0,0,0,0,0.57
 60-70,0,0,1.96,0,26.5,0,0,7.85,3.93,0,0,4.91,0.98,0,0,2.94,0,1.96,0,0.98,3.93,0,34.35,0,2.94,2.94,0,206.12,0,0,0.98,0,0.98,1.96,0,0,0,0
 72-82,0,0,6.87,0,62.83,0,0,6.87,10.8,0,3.93,18.65,0,0,0.98,11.78,0,7.85,1.96,3.93,9.82,0.98,50.06,0,4.91,6.87,0,250.32,0,0,1.96,0,1.96,10.8,0,0,0,0
 84-94,0,0,5.31,0,105.14,0,0,1.06,7.43,0,3.19,26.55,2.12,0,0,16.99,1.06,9.56,0,2.12,6.37,0,44.61,0,3.19,6.37,0,582,0,0,0,0,0,32.92,1.06,1.06,1.06,0
 96-106,0,0,7.65,0,155.18,1.09,1.09,4.37,21.86,0,2.19,41.53,1.09,0,2.19,17.49,0,12.02,3.28,5.46,17.49,1.09,32.79,1.09,7.65,8.74,0,510.36,0,0,2.19,0,0,52.46,0,1.09,1.09,0
108-118,0,0,3.06,0,112.6,0,1.53,2.3,17.62,0,0.77,34.47,0,0,3.06,17.62,0,5.36,1.53,1.53,7.66,0,23.74,0,5.36,3.83,0,384.51,0,0,5.36,0,0,58.98,0,0.77,0,0
120,0,0,0,0,101.91,0,0,1.96,15.68,0,1.96,43.12,0,0,0,13.72,0,5.88,5.88,7.84,3.92,0,17.64,0,3.92,11.76,0,250.85,0,0,0,0,0,29.4,0,0,1.96,0
