stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,3294.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0
  5-6,61.3,1299.48,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,404.56,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,7.89,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,123.55,2.63,0,0,57.83,86.75,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,15.73,18.88,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,4,10,1,0,2,0,0,7,4,0,1,0,2,0,0,0,2,0,0,0,73,1,1,5,1,138,1,45,2,3,35,0,0,0,0
 24-34,0,0,2.46,4.1,4.93,0,0,13.13,0,0,13.13,2.46,0.82,0,0,6.57,0,1.64,0.82,3.28,6.57,0,4.93,299.61,0,9.85,27.91,0,277.45,0,13.95,9.85,0.82,52.53,0,0,0,0
 36-46,0,0,0,1.61,0.81,0.81,0,38.67,0.81,0.81,14.5,0,0,0.81,0.81,0.81,0,3.22,0.81,3.22,3.22,0,0,245.73,0,14.5,15.31,0,165.16,0,5.64,3.22,0,48.34,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,0,36.15,0.57,1.72,16.07,0,3.44,0,0,1.15,0.57,4.02,2.87,2.87,3.44,0,0,122.22,0,7.46,15.49,0,97.55,0,2.3,0.57,0,22.38,0,0,0,0.57
 60-70,0,0,0,0,8.83,0,0,63.8,1.96,0,9.82,4.91,1.96,0,0,2.94,4.91,5.89,4.91,3.93,9.82,0.98,0,116.8,0,8.83,22.58,0,87.36,0,2.94,0,0,4.91,0,0,0,0
 72-82,0,0,5.89,0.98,24.54,0,0,43.19,0,0,13.74,15.71,0,0,0,2.94,1.96,18.65,3.93,9.82,7.85,0,0,107,0,10.8,48.1,0,98.17,0,1.96,0,0,9.82,2.94,0.98,0,0.98
 84-94,0,0,4.25,3.19,24.43,0,1.06,45.67,0,5.31,9.56,46.73,3.19,0,0,11.68,6.37,15.93,13.81,4.25,13.81,0,0,73.28,0,16.99,52.04,0,249.58,0,5.31,0,0,3.19,2.12,0,0,1.06
 96-106,0,0,3.28,2.19,44.81,0,0,43.71,0,2.19,8.74,40.44,0,0,4.37,19.67,4.37,29.51,10.93,8.74,17.49,0,1.09,64.48,0,13.11,66.66,0,236.05,0,5.46,0,0,3.28,7.65,2.19,0,0
108-118,0,0,2.3,5.36,36,0,3.83,31.4,0,10.72,6.13,37.53,0,0,1.53,13.79,1.53,18.38,15.32,4.6,12.26,0,0.77,83.49,0,13.79,43.66,0,190.72,0,1.53,0,0,0.77,15.32,0,0.77,0
120,0,0,0,1.96,29.4,0,1.96,37.24,0,11.76,7.84,29.4,0,1.96,0,17.64,1.96,9.8,7.84,9.8,9.8,0,0,60.75,0,7.84,25.48,0,146.98,0,3.92,0,0,3.92,3.92,0,0,0
