stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,17,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,11,0,9,42,5,0,1,1,0,0,3,6,0,6,24,0,0,1,0,0
 24-34,0,0,0,2.46,23.8,0.82,0,10.67,0,2.46,0.82,3.28,1.64,0,0,0,0,1.64,4.1,0.82,76.34,0.82,41.04,173.2,13.95,0,4.93,0,0,0.82,0,21.34,0,4.93,54.18,0,0,9.03,0,0.82
 36-46,0,0,0,1.61,8.06,0,0,8.86,4.83,0.81,4.83,8.06,2.42,0.81,0,0,0.81,0,0.81,0.81,121.66,2.42,25.78,97.49,9.67,0.81,4.03,0,0,0,0,9.67,0,0.81,43.51,0,0,4.83,0,1.61
 48-58,0,0,0,0,3.44,0,0,8.61,6.31,0,6.31,30.99,2.3,0.57,0,0,0,0.57,3.44,0.57,128.53,2.3,24.67,33.28,13.2,0,2.3,0,0,0.57,0,7.46,0,0,24.1,0,1.15,2.3,0,1.15
 60-70,0,0,0,0,4.91,0,0,13.74,9.82,1.96,7.85,89.32,6.87,0.98,0.98,0,0.98,0,2.94,0,194.34,1.96,23.56,27.48,10.8,0,5.89,0,1.96,0,0,5.89,0.98,0,15.7,0,2.94,2.94,0,0
 72-82,0,0,0.98,0,9.82,0.98,0,38.28,3.93,3.93,13.74,188.48,35.34,0.98,0,0,0.98,0,31.41,0,329.84,1.96,24.54,40.25,5.89,0,10.8,0,1.96,1.96,0,12.76,0,0,6.87,1.96,2.94,3.93,1.96,0.98
 84-94,0,0,3.19,0,16.99,0,1.06,39.3,1.06,5.31,15.93,125.32,70.09,2.12,0,0,4.25,3.19,41.42,1.06,182.67,5.31,16.99,27.61,8.5,0,9.56,0,0,0,0,27.61,0,0,5.31,1.06,2.12,4.25,2.12,1.06
 96-106,0,0,3.28,0,12.02,5.46,0,43.71,1.09,1.09,15.3,184.69,50.27,1.09,1.09,1.09,8.74,1.09,169.39,2.19,278.68,5.46,14.21,59.01,6.56,0,12.02,0,3.28,2.19,0,26.23,0,0,5.46,0,3.28,2.19,5.46,3.28
108-118,0,0,1.53,0,12.26,0,0,22.98,0.77,5.36,10.72,156.26,36,1.53,0,0.77,8.43,0,368.43,0.77,245.87,3.83,13.02,64.34,10.72,0,14.55,0,0.77,1.53,0,17.62,0,0,3.06,0.77,2.3,3.06,2.3,0
120,0,0,1.96,0,7.84,0,0,15.68,0,1.96,21.56,111.71,37.24,3.92,1.96,0,5.88,0,164.62,1.96,154.82,1.96,3.92,47.03,13.72,0,7.84,0,0,1.96,0,11.76,0,0,1.96,0,3.92,0,3.92,0
