stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,0,0,0,13.14,0,0,13.14,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,12.59,0,3.15,0,0,0
 14-21,0,0,1,0,2,0,1,1,0,0,0,11,1,0,0,0,0,1,4,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,0,2.46,0,12.31,0,1.64,0,0,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,8.06,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,4.02,0,0,0,0,1.72,0,2.3,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0.98,1.96,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0
