stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,86.75,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,97.56,3.15,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,4,0,1,14,2,0,1,1,3,1,4,11,0,0
 24-34,0,0,0,0,0,0.82,0.82,1.64,0,0,0,0,0,0,0,1.64,0,3.28,9.85,0,0,0,0,0,0,0.82,11.49,0,0
 36-46,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0.81,3.22,0.81,1.61,6.45,0,0,0,0,0,0,0,0.81,1.61,0.81
 48-58,0,0,0,0,0,0.57,0,2.87,0,0,0,0.57,0,0,0,3.44,0,1.72,5.74,0,0,0,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,0.98,0,1.96,0,0,0,1.96,0.98,0,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0.98,0,0.98,0.98,6.87,0,0,0,2.94,0,0,0,12.76,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,1.06,0,2.12,0,4.25,1.06,0,0,1.06,0,0,0,5.31,1.06,0,2.12,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,2.19,0,0,0,1.09,0,1.09,0,1.09,1.09,0,4.37,1.09,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0.77,0.77,1.53,3.06,0,0,0,0.77,0,0,0,3.83,0,0,1.53,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,3.92,0,0,0,1.96,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
