stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,30,3,0,1,0,0,3,0,2,0,0,9,0,0,0,0,0
 24-34,0,0,0.82,8.21,0,0,68.13,0,0,0,0.82,0,0,0.82,0,0,0,0,1.64,1.64,10.67,0,0,4.93,214.24,1.64,1.64,0.82,0,0,13.13,0,1.64,0.82,1.64,27.91,0,0,12.31,0,0
 36-46,0,0,0,4.03,0,0,32.23,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,12.89,0,0,1.61,271.51,0.81,0,0.81,0,0,5.64,0,0.81,0,0,45.92,0,0,3.22,0,1.61
 48-58,0,0,0,1.72,0,0,33.28,1.72,0,0.57,2.87,0,0,0.57,0,0,0,0.57,1.15,0,8.03,0,0.57,2.3,304.69,0.57,0,1.15,0,0,2.87,0,0.57,0.57,0,28.12,0,0,0,0,1.15
 60-70,0,0,0,1.96,0,0,100.12,0.98,3.93,0,14.72,0.98,0,0.98,0.98,0,0,0,2.94,0,37.3,0,0,3.93,771.48,0.98,1.96,1.96,0,0,0.98,0,0.98,1.96,0,40.24,0,0,0.98,0,0.98
 72-82,0,0.98,0,10.8,0.98,0,219.89,0,1.96,0.98,30.43,1.96,0,3.93,0,0,1.96,0.98,0.98,0,46.14,0,0,4.91,918.84,0,0.98,1.96,0,0,11.78,0,0.98,1.96,0,36.32,0,0,6.87,2.94,3.93
 84-94,0,1.06,0,5.31,2.12,0,144.44,0,0,1.06,18.05,1.06,1.06,1.06,1.06,0,2.12,1.06,0,0,35.05,0,1.06,2.12,508.72,1.06,1.06,1.06,0,1.06,7.43,0,2.12,1.06,0,21.24,2.12,2.12,2.12,5.31,2.12
 96-106,0,0,0,9.84,0,1.09,165.02,2.19,0,1.09,25.14,0,0,1.09,1.09,0,0,1.09,3.28,0,32.79,1.09,1.09,5.46,479.76,1.09,1.09,1.09,0,0,6.56,0,0,0,0,19.67,1.09,0,2.19,2.19,1.09
108-118,0,0.77,0.77,6.13,2.3,0.77,160.85,0,1.53,0.77,18.38,3.83,0,0.77,2.3,0.77,0.77,0.77,2.3,0,25.28,0,1.53,2.3,577.54,0.77,1.53,1.53,0,0.77,4.6,0,0,0,0,6.89,0,0.77,3.06,2.3,0.77
120,0,0,0,7.84,3.92,0,160.7,0,0,0,41.16,0,0,0,3.92,0,0,0,9.8,1.96,19.6,0,0,5.88,748.64,3.92,3.92,0,0,1.96,3.92,0,0,0,0,11.76,0,0,1.96,3.92,0
