stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,1489.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,110.33,1789.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,12.26,0,42.91,0,0,0,0,0,0,0
  7-9,84.12,81.49,0,84.12,0,0,0,226.07,0,0,0,0,0,120.92,0,0,0,0,0,0,0,0,0,0,0,1645.57,44.69,0,0,633.52,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,37.76,0,75.53,0,25.18,0,138.47,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,1019.62,62.94,0,0,273.79,0,0,3.15,18.88,3.15,3.15,0,0,0
 14-21,0,0,1,2,23,5,0,11,0,0,0,4,1,0,0,0,1,0,0,0,2,16,1,0,15,188,11,4,2,8,0,7,20,2,6,47,0,0,1
 24-34,0,0,0,0,9.03,0.82,0,73.88,0,0,0,7.39,0,0,0,0.82,0.82,0,1.64,0.82,0.82,41.86,0,0,9.85,439.98,4.1,3.28,4.1,0.82,0,7.39,0,0.82,2.46,64.03,0,4.93,1.64
 36-46,0,0,0,0,3.22,0,0,161.13,0.81,0.81,0,7.25,0,0,0,0.81,0,0.81,0,0.81,0,29,0.81,0.81,8.06,252.17,0,2.42,1.61,0,0,8.86,0,0.81,0,29,0,2.42,0
 48-58,0,0,0,0,4.02,0,0,170.99,0.57,1.72,1.72,10.33,0,0,0,0.57,0,0,0,1.15,0,40.17,1.72,1.72,4.59,137.14,0,0,2.3,0,0,3.44,0,0.57,0,13.77,0,3.44,0.57
 60-70,0,0,0,0,5.89,0,0.98,136.43,0,3.93,0,15.7,1.96,0,0,0,0.98,0.98,0.98,0,0,38.28,0,0.98,4.91,79.5,0,1.96,0,0,0,3.93,0,0.98,0,7.85,0.98,1.96,1.96
 72-82,0,0,0,0,4.91,1.96,0,55.95,0,2.94,1.96,15.71,1.96,0,0,0,0.98,0,0,0.98,0,47.12,0,3.93,2.94,109.95,0,1.96,5.89,0,0,4.91,0,0,0,4.91,0,1.96,0
 84-94,0,0,0,0,10.62,4.25,0,48.85,0,2.12,2.12,14.87,1.06,0,0,1.06,2.12,2.12,0,0,0,32.92,0,3.19,7.43,67.97,0,2.12,1.06,0,0,4.25,0,0,0,2.12,1.06,2.12,1.06
 96-106,0,0,0,0,5.46,1.09,0,31.69,1.09,0,0,12.02,2.19,0,2.19,3.28,0,0,0,3.28,0,20.76,0,1.09,4.37,45.9,0,2.19,2.19,0,0,6.56,0,1.09,0,1.09,1.09,3.28,0
108-118,0,0,0,0,9.19,1.53,2.3,39.83,0,0,0.77,13.79,0.77,0,0,5.36,0,4.6,0,1.53,0,20.68,0,0,6.89,72,0.77,0.77,2.3,0,0.77,4.6,0,1.53,0,2.3,0.77,2.3,0.77
120,0,0,0,0,9.8,5.88,0,19.6,0,0,0,15.68,0,0,0,3.92,1.96,0,0,1.96,0,21.56,1.96,1.96,1.96,64.67,1.96,0,0,0,0,7.84,0,1.96,0,1.96,0,1.96,0
