stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,6,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,44,0,0,0,0,0,0,1,1,0,1,21,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,12.31,0,0,0,1.64,0,0,0,0,0.82,0,0,0.82,0,9.03,0,0,7.39,243.79,0,2.46,0.82,0,0,0,0,0.82,0,0,60.74,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,107.96,0,0,0,10.47,0,0,0,0,0,0,0.81,0,0,8.86,0,0,0.81,513.21,0,3.22,0,0,0.81,1.61,0,0,0,0,91.04,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,1.15,263.38,0.57,0,0.57,22.38,0,0.57,0,1.15,0.57,0,0,0,0.57,8.03,0,0,0.57,549.71,0.57,0,1.15,0,0.57,1.15,0,0,0,0,91.23,0,0,1.72,0,0
 60-70,0,0,0,0,2.94,0.98,580.08,0,0.98,0,16.69,0,0,0,0,0,0,0.98,0.98,0,7.85,0,0.98,0,755.77,0,0.98,0,0,1.96,0.98,0,0,0.98,0,76.56,0,0.98,2.94,0,0
 72-82,0,0,1.96,0,5.89,2.94,524.21,0,0,2.94,33.38,0,0,0,0.98,0,0.98,0,0,0,24.54,1.96,1.96,0,643.97,0,1.96,3.93,0,0,2.94,0,0,0,0,54.97,0,0,2.94,2.94,0.98
 84-94,0,0,3.19,0,6.37,1.06,262.32,0,1.06,1.06,33.99,1.06,0,0,4.25,1.06,0,0,1.06,0,12.74,0,1.06,3.19,311.18,0,2.12,1.06,0,2.12,2.12,0,0,0,0,26.55,0,1.06,3.19,2.12,1.06
 96-106,0,0,0,0,6.56,1.09,196.71,0,0,0,22.95,1.09,0,3.28,13.11,0,0,1.09,1.09,0,10.93,0,2.19,1.09,249.17,0,3.28,1.09,0,4.37,2.19,0,0,0,0,6.56,1.09,0,2.19,1.09,0
108-118,0,0,0.77,0,3.83,0.77,131.75,0,0,0.77,19.15,2.3,0,0,3.06,0,0.77,0,0,0,13.02,0,0.77,0,287.24,0,3.83,0,0,0,0.77,0,0,0,0,9.96,0.77,0,3.83,0,1.53
120,0,0,0,0,15.68,1.96,158.74,0,0,1.96,25.48,1.96,0,1.96,7.84,1.96,0,0,0,0,17.64,0,1.96,1.96,376.28,0,1.96,0,0,1.96,3.92,0,1.96,0,0,13.72,0,0,1.96,0,0
