stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1436.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,2.63,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,65.72,7.89,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,56.65,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,30,1,0,1,0,0,1,0,3,5,2,8,0,0,2,0,0
 24-34,0,0,0.82,0,0.82,0,0,2.46,0,0,0,2.46,0,0,0,0,0,0,0,0,4.93,0.82,0,1.64,85.37,0,5.75,1.64,0,0,0.82,0,0,4.93,0.82,27.09,0,0,1.64,0,0
 36-46,0,0,0,0.81,1.61,0.81,0,10.47,0,0.81,0,4.03,1.61,0,0,0,0,0,0,0,10.47,0.81,0,0,111.99,1.61,8.86,2.42,0,0,0,0,0,2.42,0,27.39,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,22.38,0,0,1.15,6.89,0.57,0.57,0,0,0,0,0,0,13.2,1.15,0.57,0.57,107.3,0.57,2.3,0,0,0,0.57,0,0,2.87,0,25.25,0,0,0.57,0,1.15
 60-70,0,0,0,0,0,0,0,58.89,0,0,0.98,13.74,1.96,0,0,0,3.93,0.98,0,0,22.58,0,0,0,176.67,0,7.85,0,0,0,0.98,0,0,2.94,0,28.46,0,0,0,0,0
 72-82,0,0,2.94,0.98,1.96,2.94,0,72.64,0,0,0,37.3,0.98,0,0,0,0,0,0.98,0,47.12,0.98,0,3.93,188.48,0,13.74,0.98,0,0.98,0.98,0,0,1.96,0,20.61,0.98,1.96,1.96,0,0
 84-94,0,0,2.12,0,4.25,5.31,0,35.05,0,0,0,12.74,6.37,0,1.06,0,5.31,0,0,1.06,32.92,0,1.06,2.12,81.78,1.06,4.25,1.06,0,0,1.06,0,0,4.25,0,14.87,0,1.06,4.25,0,0
 96-106,0,0,1.09,0,0,6.56,0,38.25,0,2.19,0,34.97,16.39,0,2.19,0,2.19,0,0,0,36.06,2.19,1.09,2.19,85.24,0,6.56,3.28,0,0,3.28,0,0,3.28,0,4.37,1.09,2.19,2.19,1.09,1.09
108-118,0,0,2.3,0,3.83,3.06,1.53,27.57,0.77,0,0,21.45,4.6,0,0.77,0.77,3.06,0,0.77,0,18.38,0,2.3,1.53,108.77,0,4.6,0.77,0,0.77,0,0,0,0.77,0,3.83,0,1.53,1.53,0,1.53
120,0,0,0,0,0,5.88,0,29.4,0,3.92,0,21.56,9.8,0,0,1.96,0,3.92,5.88,0,17.64,0,1.96,1.96,76.43,0,5.88,1.96,0,0,1.96,0,0,11.76,0,1.96,0,0,0,0,0
