stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,2,7,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,17.24,0,0,1.64,1.64,11.49,0,5.75,0,0
 36-46,0.81,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,0,1.61,21.75,0,3.22,0.81,0,18.53,0,4.03,0,0
 48-58,0,0,0,0.57,1.15,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,24.1,0,2.3,0,0,13.77,0,1.15,0,0
 60-70,0,1.96,0,2.94,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0,0.98,48.09,0,2.94,0,0,14.72,0,2.94,0,0.98
 72-82,0,0,0.98,11.78,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0,0,0,59.88,0,2.94,0,0,4.91,0,9.82,0,0.98
 84-94,0,0,0,8.5,0,0,0,2.12,0,1.06,2.12,0,0,0,1.06,0,1.06,0,1.06,28.68,1.06,8.5,0,0,3.19,1.06,7.43,0,1.06
 96-106,0,0,1.09,10.93,0,0,0,4.37,0,0,1.09,0,0,0,0,1.09,0,0,0,50.27,0,5.46,1.09,0,5.46,0,8.74,0,0
108-118,0,2.3,0,9.96,0,0.77,0.77,8.43,0,0,0.77,0.77,0.77,0,0,5.36,0,0.77,1.53,42.13,0.77,3.83,0,0,2.3,0,5.36,0.77,0
120,0,1.96,1.96,5.88,0,0,0,1.96,1.96,0,0,0,1.96,0,0,3.92,0,0,0,37.24,0,1.96,0,0,1.96,0,3.92,0,0
