stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,1,0,0,0,2,1,4,0,9,0,0,0,0,4,0,0,2,7,43,0,0,6,0,1,12,2,90,23,12,0,0,1,0,0
 24-34,0,0,0.82,0,4.1,0,3.28,86.19,0.82,0,0.82,0,2.46,0,14.78,0,0,0,0,3.28,0.82,0,17.24,27.91,23.8,3.28,0,0,0,1.64,0,0.82,125.59,31.19,18.06,0,0,1.64,0,0
 36-46,0,0,0.81,0,3.22,0,4.83,191.75,0,1.61,1.61,0,4.03,0,5.64,0,0,0,0.81,4.83,0.81,0,14.5,37.87,17.72,0.81,0,0.81,0,2.42,0,0,120.04,1.61,8.86,0,0,0.81,0,0
 48-58,0,0,0.57,0,1.15,0,17.21,135.99,0,1.15,8.61,0,1.72,0,0.57,0,0,0,0.57,8.61,0,0.57,9.75,49.35,8.61,0,1.15,0,0,2.3,0,0,95.25,0,17.21,0,1.15,0,0,0.57
 60-70,0,0,0,0.98,1.96,0,23.56,103.06,0,0,3.93,0,1.96,0,2.94,0,0.98,0,0,12.76,0,0,15.7,36.32,6.87,0,0,0.98,0,0,0,2.94,44.17,0,4.91,0,0,0.98,0.98,0.98
 72-82,0,0,0,0,9.82,1.96,16.69,90.31,0,0.98,5.89,0.98,0,0.98,1.96,0,0,0,0,8.83,0.98,0.98,12.76,45.16,3.93,0,0,0.98,0.98,0,0,0.98,31.41,0,2.94,0.98,0.98,2.94,0,0.98
 84-94,0,0,1.06,0,5.31,2.12,22.3,112.58,1.06,0,8.5,0,1.06,1.06,3.19,1.06,0,0,1.06,12.74,0,0,15.93,12.74,12.74,1.06,0,0,0,11.68,0,1.06,37.17,0,4.25,0,2.12,1.06,0,0
 96-106,0,0,0,0,5.46,4.37,17.49,146.44,2.19,0,7.65,0,2.19,1.09,7.65,0,2.19,2.19,0,18.58,2.19,1.09,21.86,34.97,3.28,1.09,0,1.09,0,9.84,0,0,32.79,0,1.09,0,0,4.37,1.09,1.09
108-118,0,0,0,0,4.6,0,13.02,117.19,1.53,0.77,0.77,0.77,1.53,0.77,6.89,0,0,1.53,0.77,8.43,0,0.77,20.68,22.21,11.49,0,1.53,0,0.77,2.3,0,0,40.6,0,0,0,0.77,0,1.53,0.77
120,0,0,0,0,5.88,3.92,9.8,78.39,1.96,0,5.88,0,0,0,7.84,0,0,0,0,5.88,0,0,17.64,15.68,7.84,0,0,0,0,0,0,1.96,11.76,0,0,0,0,0,0,0
