stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,4,1,6,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,0,0,19.7,0,0,0,0,0,0,6.57,0,0,0
 36-46,0,0,7.25,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0.81,38.67,0,0,0,0,0,0,7.25,0,1.61,0
 48-58,0,0,12.62,0,0,0.57,0.57,0,0,0,0,0,0,7.46,0.57,1.15,48.2,0,0.57,0,0,0,0,8.03,0,0.57,0
 60-70,0,0,36.32,0,0.98,5.89,0,0,0,0,0,0,0,6.87,0,0,68.71,0,0,0,0,0,0,9.82,0.98,0.98,0.98
 72-82,0.98,0,17.67,0,0,4.91,0,0,0,0,0,0,0,9.82,0,0,53.99,0,0,0.98,0,0,0,2.94,0,0,0
 84-94,0,1.06,6.37,0,0,2.12,0,0,0,1.06,0,0,1.06,4.25,1.06,0,11.68,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,1.09,0,5.46,1.09,0,2.19,0,1.09,1.09,1.09,0,0,0,5.46,1.09,0,17.49,0,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0,6.89,0,0.77,2.3,0,0.77,0,0,0,0.77,0,4.6,0,0.77,13.02,1.53,0,0.77,0.77,0,0,0.77,0,0,0
120,1.96,0,9.8,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,15.68,0,0,0,0,0,0,0,0,0,0
