stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1,1,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0,0,0,1.64,0,0,4.93,0,0,0,0,0.82,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,12.89,0,0,0,0,0.81,0,0,3.22,0
 48-58,0,0,0.57,0,0.57,0,1.72,0,0.57,0,0,2.87,0,0,13.77,0.57,0,0.57,0,0,0,0,2.87,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,23.56,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,2.12,0,1.06,0,0,0,1.06,2.12,0,1.06,6.37,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,2.19,0,0,1.09,0,1.09,0,2.19,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,2.3,0.77,0,1.53,0,0,0,0,0,0,0,0,0.77
120,0,0,3.92,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
