stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,6,5,0,0,0,2,0,1,0,0,0,1,1,0,0,4,0,0,5,0,0,0,2,3,0,3,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,0,0,0.82,0,0.82,6.57,0,0,0.82,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0.81,0,1.61,0,0,3.22,0,1.61,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0.57,0,0,1.15,0,0,1.72,0,0,0.57,0,0,0,0,0,0.57,2.87,0
 60-70,0,0,0,0,0,0.98,2.94,0.98,0,0,0,0,0,0.98,0,0,0,0,0,6.87,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,1.96,5.89,0,0.98,0,0,0,0,0,0,0,1.96,0.98,0,5.89,0,0,0.98,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,1.06,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,2.19,3.28,0,0,1.09,0,1.09,1.09,0,1.09,0,0,1.09,0,0,4.37,0,1.09,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,2.3,0,0.77,0,0.77,0,0.77,0,0,0,2.3,0,0.77,6.13,0,0.77,0.77,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0
