stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,876.54,12.26,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,355.52,0,0,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,47.32,36.8,0,0,15.77,0,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,157.72,13.14,0,0,2431.56,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,22.03,47.2,0,22.03,28.32,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,3.15,163.64,28.32,0,0,2278.41,0,0,0,18.88,56.65,0,34.62,0,0,0,0,0,0
 14-21,0,4,3,51,138,4,0,0,0,1,3,1,3,0,0,1,0,0,0,336,0,378,171,3,1,0,21,0,0,0,1074,14,24,505,4,0,0,32,0,0
 24-34,0,0,0.82,16.42,12.31,3.28,0,0,4.1,1.64,0,0,9.03,0,0,0,0,0,0.82,644.37,0,241.33,91.12,0,0,0,0,0,2.46,0,2.46,4.1,1.64,74.7,2.46,0,0,145.29,0,0
 36-46,0,0,0,11.28,2.42,6.45,0.81,0,9.67,2.42,0,0,8.86,0,0,0.81,0,0.81,0,699.32,0,215.92,57.2,0,0.81,0,0.81,1.61,0,0.81,1.61,3.22,2.42,0.81,8.86,0,0.81,83.79,0.81,0
 48-58,0.57,0,0,8.03,0.57,15.49,2.87,1.72,11.48,7.46,0,0,14.92,0,0,0,0.57,1.72,0,966.29,2.3,140.01,52.79,0,0,0,0,1.15,2.3,0,0,2.3,0.57,0,4.59,0,4.59,78.61,0,0.57
 60-70,0,0,0,10.8,0,22.58,2.94,0.98,4.91,4.91,0,0,21.59,0,0,0,0,0.98,0,1033.54,6.87,83.43,36.32,0,0,0.98,0.98,6.87,0,0,0,2.94,5.89,0,2.94,0,16.69,64.78,0,0
 72-82,0,0,0,11.78,0,35.34,0.98,0,7.85,8.83,0.98,0,29.45,0.98,0,0,1.96,0.98,0,1294.81,12.76,77.55,40.25,0.98,0.98,0,0.98,13.74,0,0,0,4.91,9.82,0,1.96,0,28.47,95.22,5.89,0.98
 84-94,0,0,0,13.81,1.06,54.16,3.19,0,4.25,5.31,2.12,0,19.12,2.12,1.06,1.06,0,1.06,0,902.73,4.25,62.66,23.36,0,0,0,0,9.56,0,0,0,6.37,3.19,0,0,0,25.49,79.65,3.19,0
 96-106,1.09,0,0,12.02,3.28,50.27,1.09,3.28,4.37,7.65,0,0,31.69,4.37,0,1.09,1.09,1.09,0,733.3,13.11,38.25,33.88,0,0,0,0,19.67,3.28,0,0,4.37,0,0,0,1.09,29.51,104.91,5.46,0
108-118,0.77,0,0,15.32,0.77,19.15,3.06,1.53,6.13,3.06,0.77,0,14.55,2.3,0,0,0,0.77,0.77,654.9,9.96,34.47,28.34,0.77,0,0,0,15.32,0,0,0,8.43,2.3,0,1.53,0,19.15,62.04,0.77,0
120,0,0,0,11.76,1.96,11.76,0,7.84,0,5.88,0,0,11.76,1.96,0,0,0,0,0,525.22,5.88,29.4,31.36,0,0,1.96,1.96,3.92,0,0,0,1.96,3.92,0,1.96,0,17.64,60.75,0,0
