stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,11,0,0,0,0,0,3,6,0,0,0
 24-34,0,0,0.82,0.82,0,2.46,0,0,0,0,0,0,0,0,0,0.82,0,0.82,107.53,0.82,0,0,0,0.82,2.46,19.7,0,1.64,0
 36-46,0,0,0,0.81,0,2.42,0.81,0.81,0,0.81,0,0,0,0,0,3.22,0,0.81,87.01,0,0,0,0.81,0,0,19.34,0,0.81,0
 48-58,0,0,0,0,0,5.16,0,0,0,5.16,0,0.57,0,0,0.57,2.87,0.57,0.57,63.69,0,0,0,0,0,0,17.79,0,1.15,0
 60-70,0,0,0,0,0,21.59,0,0,0,3.93,0,0,0,0,0,2.94,0,1.96,97.17,0,0.98,0,0,0.98,0,12.76,0,0,0
 72-82,0,0,0,3.93,0,53.01,0,0,2.94,3.93,0,0,0,0.98,0,0.98,0,0,66.75,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,40.36,0,0,0,7.43,0,0,0,0,0,7.43,0,0,29.74,0,2.12,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,34.97,0,1.09,0,3.28,2.19,0,0,0,1.09,1.09,0,0,28.41,1.09,2.19,0,0,0,0,2.19,0,0,0
108-118,0,0,0.77,0,0,34.47,1.53,0,0,0.77,0,0,0,0,0,2.3,0,2.3,23.74,0,1.53,0,0,0,0,0.77,0.77,0,0
120,0,0,0,1.96,0,25.48,3.92,1.96,1.96,1.96,1.96,0,3.92,0,1.96,3.92,0,0,50.95,0,1.96,0,1.96,0,0,0,0,0,1.96
