stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,18.4,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,2,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,0,0,0.82,1.64,6.57,0,0,0.82,0,0,0.82,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,0,0,0.81,0,0.81,2.42,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,1.72,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,2.94,0,2.94,0,0,0.98,0,3.93,0,1.96,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,3.19,0,0,2.12,0,3.19,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,1.09,1.09,0,0,2.19,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0.77,0,0.77,0.77,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
