stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,6.29,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,9,3,4,0,0,0,2,2,0,0,0,0,0,1,7,0,0,4,78,2,1,1,4,0,0,6,0,0,12,24,0,0,1,0,0
 24-34,0,0,1.64,1.64,0,9.03,0,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0.82,0.82,91.94,0,1.64,1.64,0,0,0.82,0,0,0,0,21.34,0,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,34.64,0,0,0.81,0.81,0,0,0,0,0,0,0,6.45,0,0,4.03,103.93,0.81,0,0,0,0,0,0,0.81,1.61,0,27.39,0,0,2.42,0,0.81
 48-58,0,0,0,1.15,0.57,24.1,0,0.57,0,4.59,0,0,0,0,0,0,0,5.16,0,0.57,1.72,51.07,0,0.57,0,0,0.57,0,0,0,0,0,9.18,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,32.39,0,0,0,9.82,0,0,0,0,0,0,0,5.89,0,0,1.96,85.39,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,26.5,0,0,0,6.87,0,0,0,0,0,0,0,4.91,0,0,0.98,43.19,0,0.98,0.98,0,0,0.98,0,0,0,0,2.94,0,0.98,0.98,0,0
 84-94,0,0,0,0,0,28.68,0,0,1.06,8.5,0,0,0,0,0,0,0,4.25,1.06,1.06,0,25.49,0,1.06,1.06,0,0,2.12,0,1.06,0,0,3.19,0,0,1.06,1.06,0
 96-106,0,1.09,0,1.09,3.28,19.67,0,0,0,4.37,0,0,2.19,1.09,0,0,0,5.46,0,1.09,0,18.58,0,0,1.09,0,0,0,0,0,0,0,5.46,0,0,0,0,0
108-118,0,0.77,0,1.53,0.77,23.74,0.77,0,0.77,4.6,0,0,0.77,0,0.77,0.77,0,3.83,0,0,1.53,39.83,0,0,0,0,0,0.77,0,0.77,0,0,3.83,0.77,0,1.53,1.53,0
120,0,0,0,0,7.84,11.76,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,21.56,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0
