stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,1,0,0,0,0,2,0,2,21,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,0.82,0,9.03,0,0.82,0,0.82,0,0,1.64,0,1.64,0,0,0,0,0,0,0.82,100.97,7.39,4.93,0,0,0.82,0,1.64,0,26.27,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0.81,0,85.4,0,0,0,0.81,0,0,0,0,0,0.81,0,0,8.06,0,0,0.81,46.73,3.22,1.61,0,0,1.61,0,1.61,0,18.53,0,0,0,0,0.81
 48-58,0,0,0,0,0,8.61,0,107.88,0,0.57,0,2.3,0,0.57,0.57,0,0,0,1.15,0.57,15.49,1.15,0,0,37.3,1.72,0.57,0,0,0.57,0,0.57,0,5.74,0,0,1.72,0,0
 60-70,0,0,3.93,0,0.98,21.59,0,150.17,0,0,0,5.89,1.96,0.98,0.98,0,0,0,0.98,0,55.95,0,0.98,0,19.63,0,2.94,0,0,0.98,0,0.98,0,1.96,0,0.98,0,0,0
 72-82,0,0,1.96,0,3.93,89.33,0,177.68,0,0,2.94,33.38,8.83,0,1.96,0,0.98,1.96,2.94,0.98,116.82,1.96,1.96,0.98,27.49,0,5.89,0,0,1.96,0,0.98,0,4.91,0,0.98,0.98,0.98,0
 84-94,0,0,3.19,0,3.19,77.53,1.06,92.4,1.06,1.06,1.06,12.74,8.5,1.06,0,1.06,0,0,3.19,0,86.03,0,0,2.12,12.74,0,1.06,0,1.06,1.06,0,2.12,0,1.06,1.06,4.25,1.06,0,1.06
 96-106,0,0,1.09,0,8.74,104.91,0,79.78,1.09,1.09,1.09,15.3,20.76,0,0,0,0,0,9.84,0,146.44,0,3.28,2.19,29.51,0,8.74,0,1.09,3.28,0,0,0,1.09,1.09,2.19,1.09,2.19,1.09
108-118,0,0,1.53,0,3.06,55.92,0,65.11,0,0,0,12.26,15.32,0,0.77,0,0,0.77,5.36,0,146.3,0,3.06,3.06,28.34,0.77,5.36,0,0.77,1.53,0,1.53,0,1.53,0,0.77,0.77,1.53,0
120,0,0,0,0,0,62.71,1.96,35.28,0,0,0,5.88,1.96,0,0,0,1.96,0,1.96,1.96,72.51,1.96,0,0,11.76,1.96,7.84,0,0,7.84,0,0,0,0,0,0,0,0,0
