stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,1.61,1.61,0,0,0.81,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0.57,0,0,2.87,0,0,0,0,0,0,0,0,0,0
 60-70,0,2.94,0,0,0,1.96,0,0,18.65,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,2.94,0,13.74,0.98,0.98,0,0,0,0,0,0,2.94,0
 84-94,0,1.06,0,0,1.06,1.06,0,0,16.99,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,2.19,1.09,0,0,0,3.28,1.09,14.21,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,3.83,0,0.77,0.77,0,7.66,0,9.96,0.77,0.77,0,0,0,0.77,0,0,0,0.77
120,0,1.96,0,1.96,3.92,0,7.84,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96
