stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,2200.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,245.19,2611.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,24.52,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,47.32,0,60.46,0,0,134.06,0,0,0,0,0,84.12,0,0,0,0,0,0,0,0,0,0,0,1274.93,36.8,0,0,491.57,0,10.51,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,66.09,0,3.15,113.29,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,638.83,12.59,0,0,213.99,0,3.15,9.44,0,12.59,0,3.15,0,0,0,0,0
 14-21,1,0,1,3,50,12,24,0,0,0,7,2,1,0,0,0,0,0,0,0,27,0,0,19,390,9,1,3,11,0,11,2,45,4,0,19,112,0,2,0,0
 24-34,0.82,0,0,2.46,9.85,1.64,81.26,0,0.82,0,13.13,0.82,0,0,4.1,3.28,0,2.46,0.82,0,54.18,0,0,26.27,627.13,1.64,3.28,7.39,0,0,24.63,0,0,1.64,0.82,3.28,137.08,0,5.75,0,0
 36-46,0,0,0,0,11.28,3.22,228,0,0,0,11.28,0.81,0,0.81,0.81,0,0.81,0,0.81,0,39.48,0,2.42,20.14,445.54,2.42,4.83,0.81,0,0,15.31,0,0,0.81,0,0,105.54,0,4.03,0,0
 48-58,0,0,0,0.57,12.05,2.3,294.94,0,1.72,1.15,15.49,0.57,0,1.15,1.15,0,2.3,0,1.72,0,61.4,0,4.59,9.75,278.87,1.72,1.72,1.72,0,0,8.61,0,0,0,0,0,41.89,0,8.03,0,1.15
 60-70,0,0,0,0,13.74,0.98,318.99,0.98,0,1.96,19.63,0.98,0.98,0.98,0.98,0.98,3.93,0.98,0,0,42.21,0,3.93,9.82,211.03,0,1.96,1.96,0,0,7.85,0,0,0.98,0,0,33.37,0,1.96,0,0
 72-82,0,0,0,0,13.74,1.96,135.47,0.98,0,0.98,35.34,3.93,0,0.98,4.91,0.98,0.98,0,0,0,73.62,0.98,3.93,6.87,202.22,0.98,4.91,2.94,0,0,5.89,0,0,0,0,0,14.72,0,6.87,0,0
 84-94,0,0,0,1.06,11.68,5.31,79.65,0,0,0,18.05,5.31,0,1.06,8.5,1.06,2.12,0,1.06,1.06,46.73,0,10.62,5.31,124.26,1.06,1.06,7.43,0,1.06,3.19,0,0,0,0,0,4.25,1.06,5.31,1.06,3.19
 96-106,0,0,0,0,5.46,1.09,63.39,0,0,0,22.95,6.56,0,1.09,7.65,0,1.09,0,1.09,0,24.04,0,1.09,8.74,85.24,0,1.09,4.37,0,0,0,0,0,0,0,0,0,0,7.65,0,0
108-118,0,0,0,0.77,11.49,3.83,73.53,0,0.77,1.53,25.28,2.3,0,0,3.83,0,3.83,0.77,2.3,0,21.45,0,1.53,3.06,114.89,1.53,3.83,1.53,0,0,3.06,0,0,0.77,0,0,7.66,1.53,0.77,0,0
120,0,0,0,0,11.76,7.84,60.75,0,0,0,23.52,0,0,0,7.84,0,1.96,0,1.96,0,27.44,0,0,1.96,117.59,0,0,3.92,0,0,3.92,0,0,0,0,0,3.92,0,3.92,0,0
