stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,10.67,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,2.46,0.82,0,0,0,0,1.64,0,0
 36-46,0,4.03,0,0.81,0,0,0,0,0,4.83,0.81,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0
 48-58,0,9.18,0,1.72,0,0.57,0,0,0,3.44,0.57,0,0.57,0,0,1.72,0,0,0,0,0,0.57,0,0
 60-70,0,12.76,0,2.94,0,0,0,0.98,0,0,5.89,0.98,0.98,0,0,4.91,0,0,0,0,0,0.98,0,0
 72-82,0,16.69,1.96,1.96,0.98,2.94,0,0.98,0,1.96,9.82,0,2.94,0,0,4.91,0,0,0,0,0,0,0.98,0
 84-94,1.06,7.43,0,5.31,0,0,0,0,0,4.25,30.8,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,31.69,1.09,4.37,1.09,1.09,0,1.09,0,3.28,30.6,0,4.37,4.37,0,6.56,0,0,0,0,0,0,2.19,2.19
108-118,0,9.96,0,2.3,0,0.77,0.77,2.3,0.77,10.72,39.06,0,1.53,2.3,0,4.6,0,0,0,0.77,0,0,2.3,0.77
120,0,17.64,0,1.96,0,1.96,0,0,0,11.76,23.52,1.96,1.96,1.96,1.96,7.84,0,0,0,0,0,1.96,0,1.96
