stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,10.51,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,0,1,338,4,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,28,1,0,4,9,115,0,0,0,0,0,0,7,0,3,4,0,0,8,0,0
 24-34,0,0,0.82,362,1.64,0,5.75,0,4.1,0,0.82,0,0,11.49,0,4.1,0,0.82,0,1.64,62.39,3.28,0.82,9.03,53.36,270.88,0,0.82,0,1.64,4.93,0,0,0.82,0,6.57,0,0,77.16,0,1.64
 36-46,0,0,0,286.82,1.61,0,12.89,0.81,10.47,0.81,0,0,0,16.92,0,1.61,0,0,0,3.22,49.95,6.45,7.25,8.06,51.56,265.87,1.61,0,0,1.61,4.03,0,0,1.61,0,8.86,0,0,79.76,0,0.81
 48-58,1.15,0,0,273.13,1.72,0,12.05,0,18.36,1.15,4.59,0,0,13.2,0,0,0.57,0,0,8.03,48.2,1.72,8.03,9.75,33.85,166.98,0,0,0,1.15,4.02,0,0,0,0,6.89,0,0.57,100.99,0,3.44
 60-70,1.96,0,0,306.23,0,0,16.69,0.98,19.63,0,0.98,3.93,0,6.87,0,0,0.98,0.98,0,2.94,99.13,3.93,15.7,6.87,24.54,106.99,0,0,0,2.94,0.98,0,0,0.98,0,4.91,0.98,11.78,86.37,4.91,0
 72-82,0,0,0.98,337.69,1.96,0,22.58,2.94,20.61,3.93,7.85,2.94,0.98,9.82,0,0.98,0,1.96,0,0.98,343.58,1.96,38.28,13.74,25.52,83.44,0.98,0.98,0,10.8,2.94,0.98,0,0,0,3.93,12.76,29.45,195.35,39.27,0.98
 84-94,0,0,0,651.03,0,0,16.99,5.31,44.61,4.25,4.25,8.5,0,9.56,0,2.12,0,0,0,6.37,236.83,5.31,36.11,3.19,15.93,133.82,0,1.06,0,2.12,5.31,0,0,1.06,0,2.12,41.42,28.68,194.35,50.98,5.31
 96-106,1.09,0,0,594.51,5.46,1.09,30.6,7.65,40.44,3.28,6.56,20.76,0,8.74,3.28,4.37,1.09,0,0,6.56,343.15,4.37,48.09,2.19,30.6,120.21,0,2.19,0,13.11,9.84,1.09,0,1.09,0,3.28,53.55,41.53,264.47,81.96,4.37
108-118,1.53,0,0.77,456.51,2.3,1.53,16.85,5.36,36.77,0.77,4.6,16.85,0,8.43,0.77,0.77,1.53,0,1.53,13.79,260.43,3.06,39.83,5.36,32.94,139.41,0.77,1.53,0,6.13,2.3,0,0,3.06,0,0.77,91.15,27.57,206.04,47.49,3.83
120,3.92,0,0,182.26,3.92,0,7.84,3.92,29.4,1.96,1.96,3.92,0,7.84,0,1.96,0,0,1.96,1.96,176.38,5.88,25.48,0,21.56,176.38,0,1.96,0,9.8,3.92,0,0,0,0,0,29.4,35.28,148.94,48.99,3.92
