stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,4.03,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,2.87,0,0,0,1.15,0.57,1.15,2.87,1.15,0,1.15,0,0.57,0,0,4.02
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,12.76,0,0,0,0.98,0,0,3.93,3.93,0,0,0,0.98,0,0,2.94
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,8.83,0,0,0,0.98,0,0,16.69,4.91,0,0,0,0.98,0,0,5.89
 84-94,0,0,0,1.06,1.06,3.19,0,1.06,1.06,1.06,0,20.18,1.06,0,0,2.12,0,0,5.31,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,2.19,0,0,0,4.37,0,15.3,1.09,0,0,3.28,0,0,17.49,2.19,1.09,2.19,0,1.09,0,0,7.65
108-118,0,0,0.77,0,0,3.06,0,0,0,0.77,0,17.62,0.77,0.77,0,3.06,0.77,0.77,9.19,2.3,0.77,0.77,0,0,0.77,0.77,5.36
120,0,0,0,3.92,0,0,1.96,0,0,1.96,0,13.72,0,0,1.96,1.96,0,0,17.64,1.96,0,1.96,0,0,0,0,3.92
