stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,iridophores,lateral_line,mesenchyme,neural,notochord,olfactory,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,1.61,1.61,0.81,0,0
 48-58,0,0,0,1.15,0,0,0,0,7.46,4.02,2.87,0,0.57,0
 60-70,0,0,0,2.94,0,0,0,0,48.09,0.98,6.87,0,0,0
 72-82,0,0,0.98,1.96,1.96,0,0.98,0,100.13,8.83,0.98,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,1.06,78.59,2.12,10.62,0,1.06,1.06
 96-106,0,0,1.09,1.09,0,1.09,0,0,49.18,3.28,2.19,0,0,0
108-118,0,0,0,0,0.77,0,0,0,40.6,3.06,3.06,0,0,0
120,0,0,0,0,0,0,0,0,37.24,1.96,1.96,0,1.96,0
