stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,138.47,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,43,0,0,23,35,522,0,1,0,0,0,6,0,13,27,61,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0.82,117.38,0,0,40.22,44.33,50.07,0,0,0,0,0.82,0,0,0,0.82,56.64,0,0,0,0,0.82
 36-46,0,0,0,0,0,4.03,0,0,0.81,5.64,0,0,0.81,0,0,0,0,0,202.22,0,0.81,28.2,58.01,12.89,0.81,0,0,0,0,0,0,0,0,34.64,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,13.2,0,0.57,9.18,16.07,0,0,0.57,0,5.74,0,0,0,348.87,0,3.44,32.71,30.41,1.72,0,0.57,0,0,0,0,0,0,0,18.36,0,0,0,0,0
 60-70,0,0,0.98,0,0,25.52,2.94,0.98,10.8,4.91,0,0,0,0,11.78,0,0.98,0,537.87,0,3.93,19.63,14.72,1.96,0,0.98,0,1.96,0,0,0,0,0,2.94,0,2.94,0,1.96,0
 72-82,0,0,0.98,0,0,58.9,0.98,0,21.6,8.83,0.98,0,0,0,16.69,0,0,0,783.37,0,18.65,39.27,27.49,0,0,3.93,0,1.96,0,0,0,0,0,2.94,0,13.74,2.94,12.76,0.98
 84-94,0,0,1.06,1.06,0,88.15,1.06,0,11.68,11.68,0,0,0,1.06,21.24,0,0,3.19,433.31,0,7.43,26.55,9.56,1.06,0,4.25,0,1.06,1.06,0,1.06,0,0,3.19,0,3.19,1.06,11.68,0
 96-106,0,0,1.09,0,1.09,88.52,2.19,0,12.02,13.11,0,0,0,1.09,16.39,2.19,2.19,2.19,498.34,1.09,13.11,24.04,29.51,1.09,0,6.56,0,2.19,2.19,0,0,0,0,2.19,1.09,4.37,3.28,14.21,0
108-118,0,0,3.06,0,0,67.4,8.43,0,10.72,5.36,0,0,0,0.77,34.47,0,0.77,3.83,363.83,0,5.36,19.92,21.45,0.77,0.77,3.06,0,0,0,0,0,0,0,0,0.77,2.3,2.3,13.02,0
120,0,0,3.92,0,0,37.24,1.96,1.96,9.8,11.76,0,0,0,0,21.56,0,0,0,364.52,1.96,15.68,17.64,15.68,1.96,0,1.96,1.96,0,0,0,0,0,0,7.84,1.96,0,3.92,25.48,0
