stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,12,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0.82,0,0,0,119.84,0,7.39,0,0,0.82,0,41.04,0,0,0.82,0,0
 36-46,0,0,0.81,0,3.22,0,0,0,0,0,0,0,0,352.08,0,9.67,0,0,0.81,0.81,83.79,0,0,0,0,0.81
 48-58,0,0,0,0.57,21.23,0,4.59,0,0,3.44,0,0,0,362.07,0,6.89,1.15,0,1.15,0,73.45,0,0,0,0,0
 60-70,0,0,0.98,0,58.89,0,3.93,0,0,1.96,0,0,0.98,611.49,0,9.82,0,0,0.98,0,79.5,0,0,0,0.98,0.98
 72-82,0,0,1.96,1.96,69.7,0,4.91,0,0,7.85,0,0,0,482.98,0,11.78,0,0,0,0,40.25,0,0.98,1.96,0.98,0
 84-94,0,1.06,0,0,53.1,1.06,11.68,1.06,0,7.43,0,1.06,0,249.58,0,9.56,0,0,1.06,0,25.49,0,0,0,0,0
 96-106,0,0,3.28,1.09,59.01,0,5.46,0,0,3.28,1.09,1.09,1.09,237.15,0,9.84,0,0,0,0,14.21,0,0,1.09,1.09,0
108-118,0,0,3.83,0,41.36,0,7.66,0.77,0,3.06,0,0,0.77,252,0,5.36,0,0,0.77,0,10.72,0.77,0,0,0.77,0
120,0,0,3.92,0,31.36,0,3.92,0,0,3.92,0,0,0,282.21,0,5.88,0,0,0,0,17.64,0,0,1.96,0,0
