stage,epidermis,eye,fast_muscle,glial,iridophores,liver,mesenchyme,mural_cell,neural,notochord,otic,pronephros,spinal_cord,vasculature
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,2.46,0.82,0,0,0,1.64
 36-46,0,0.81,0,0,0,0,1.61,0,0.81,0.81,0,0,0.81,0.81
 48-58,0,1.72,0,0.57,0,0.57,2.3,0,1.15,1.15,0,0.57,0,1.15
 60-70,0.98,5.89,0,0,0,0,10.8,0,2.94,0,0,0,0.98,0
 72-82,0,17.67,0,0.98,0,0,14.72,0,4.91,0,0,0,4.91,1.96
 84-94,1.06,8.5,0,0,1.06,0,7.43,0,1.06,0,0,1.06,0,1.06
 96-106,0,6.56,0,0,0,0,9.84,0,3.28,0,1.09,0,0,0
108-118,0,6.13,0,0.77,0,0,0.77,0.77,1.53,0,0.77,0,0,0
120,0,7.84,1.96,1.96,0,0,9.8,0,1.96,0,0,0,0,1.96
