stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,gut,liver,mesenchyme,mucous,neural,periderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,12.26,0,0
  7-9,0,0,28.92,0,0,0,0,0,0,15.77,0,0
 10-12,0,0,15.73,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,0,3.93,0.98,0,0,2.94,0,0
 84-94,0,1.06,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,4.37,0,0,1.09,24.04,5.46,0,1.09,6.56,2.19,0
108-118,0,0,0,0.77,0.77,56.68,19.15,1.53,0,3.06,0.77,0
120,0,0,0,3.92,0,56.83,13.72,0,0,9.8,0,0
