stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,3,0,2,0,0,0,0,0,0,0,0,2,0,1,15,1,1,0,0,1,0,4,2,0,0
 24-34,0.82,0,1.64,0,0,0,0,0,0,0,0,0.82,0,1.64,17.24,0,0,0,0,0,0,0,6.57,0,0
 36-46,0.81,0,6.45,0,0,0.81,0,0.81,0,0,0,0.81,0,0,23.36,0,0,0,0.81,0,0,0,4.03,0,0
 48-58,0,0,6.89,0,0,0,0.57,0,0.57,0,0,2.3,0,0.57,12.62,0,0,0,0,0,0,0,4.02,0.57,0
 60-70,0,0.98,7.85,0,0,0,0.98,0,0,0,0,0,0.98,0,9.82,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,6.87,0,0,0,0,0,0,0,0.98,0,1.96
 84-94,1.06,0,4.25,0,0,0,1.06,0,0,0,1.06,4.25,0,0,8.5,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,1.09,0,0,0,0,0,0,1.09,4.37,0,0,5.46,2.19,0,1.09,2.19,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0.77,0,0,0,0,0.77,0.77,0,3.06,0,0,0,0.77,0,0,0,0,0.77,0
120,1.96,0,1.96,0,1.96,0,3.92,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0
