stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,29,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,37.76,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,1.61,0,20.14,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,6.31,0,0,0.57,1.15,0,0,0,0,0,0,0,0,0.57,3.44,0,0,4.59,0,8.61,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0,0,2.94,0.98,0,1.96,1.96,0,0,0.98,0,0.98,0.98,2.94,0,0,4.91,0,0,13.74,0,7.85,1.96,0,0,0,0
 72-82,0,0,0,0,19.63,0,0,10.8,0,0,1.96,7.85,0,0,2.94,0.98,0,0.98,8.83,0,0,16.69,0,0,48.1,0,6.87,0.98,0,0,0,0.98
 84-94,0,0,0,0,38.23,0,0,12.74,0,3.19,1.06,19.12,1.06,1.06,7.43,0,0,0,4.25,1.06,0,3.19,1.06,0,182.67,0,31.86,0,0,2.12,0,0
 96-106,0,0,1.09,0,84.15,2.19,1.09,17.49,0,3.28,3.28,19.67,2.19,1.09,14.21,0,1.09,1.09,13.11,2.19,0,21.86,0,0,369.38,0,16.39,0,0,3.28,2.19,1.09
108-118,0,0,0,0,75.06,0,3.83,7.66,0.77,6.89,1.53,25.28,0,0,25.28,0.77,0,0,9.96,3.83,0,9.19,0,0,457.28,0,18.38,0,0.77,0,1.53,0
120,0,0,0,0,41.16,0,3.92,3.92,0,11.76,1.96,29.4,0,0,9.8,0,1.96,0,9.8,1.96,0,5.88,0,0,313.57,0,13.72,0,0,0,1.96,0
