stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,55.2,7.89,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,22.03,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,58,1,1,0,0,0,0,1,0,1,3,18,0,0
 24-34,0,0,0,0,0.82,13.13,0,0,1.64,0,0,0,0,0,0,0,0.82,0.82,0,0.82,54.18,0,4.93,0,0,0,0,0,0,0,0,11.49,0.82,0
 36-46,0,0,0,0,0,37.87,0,0,2.42,0,0,0.81,0,0,0,0,0,2.42,0,0,131.32,0.81,0.81,0,0,0,0,0,0,0,0,21.75,0,0
 48-58,0,0,0,0,0,82.05,0.57,0.57,6.31,0,0,0,0,0.57,0,0,0,0,0,0,82.05,0,0.57,0,0,0.57,0,0,0,0,0,20.66,0,0
 60-70,0,0,0,0,0,172.75,0.98,0,9.82,0,0,0,0,0,0,0.98,0,0.98,0,0.98,107.97,0,0,0,0,0,0,0,0,0.98,0,11.78,0,0
 72-82,0,0,0,0,2.94,139.4,0,0,5.89,0,0,0,0,0,0,0,0,3.93,0,0,87.37,0,0.98,0,0,0,0,0,0,0,0,10.8,0,0.98
 84-94,0,0,0,1.06,0,138.06,0,0,5.31,0,0,0,1.06,0,1.06,0,0,7.43,1.06,1.06,69.03,0,2.12,1.06,0,1.06,0,0,0,0,0,9.56,0,0
 96-106,0,0,2.19,1.09,3.28,106.01,1.09,1.09,14.21,1.09,0,0,0,0,0,0,0,4.37,0,1.09,52.46,0,1.09,2.19,0,0,0,0,0,0,0,5.46,2.19,0
108-118,0,0,0.77,0.77,0.77,78.89,0,0,9.19,0,0,0,0.77,0,0,0.77,0,1.53,0,0.77,81.19,0,0.77,0,0,0,0,0,0,0,0,3.06,0.77,0
120,0,0,0,0,0,48.99,0,0,15.68,0,0,3.92,0,0,0,1.96,0,3.92,0,0,64.67,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
