stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,11,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,5,34,0,0,0,1,0,3,0,2,1,1,8,11,0,0,0,0
 24-34,0,0,0,5.75,0,0,6.57,0,2.46,0.82,0,0,0,0,0,0,0,0.82,0,11.49,0.82,0,4.93,32.83,0.82,0.82,0.82,0,0,0.82,0,0,0,0,0,10.67,0,3.28,0,0
 36-46,0,0,0,0.81,0,0,8.06,0,2.42,1.61,4.03,0,0,0,0,0.81,0,0,0,10.47,0,0,4.83,59.62,1.61,0,0,0,0,4.83,0,0,0,0,0,10.47,0,0.81,0,0
 48-58,0.57,0,0,3.44,0,0,13.77,0,2.87,1.15,4.59,4.59,0.57,0,0,0,0,0.57,0,14.92,0,0,1.72,51.64,0,0.57,0.57,0,0,1.72,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,3.93,0,2.94,0,0,33.37,0,0.98,2.94,4.91,37.3,0,0,0,0,0.98,2.94,0.98,17.67,0,0.98,1.96,66.74,0,0,2.94,0,0.98,3.93,0,0,0,0,0,12.76,0,0,0,0
 72-82,0,22.58,0,1.96,0.98,0,29.45,0.98,0.98,1.96,4.91,126.63,0,0.98,0,0,0,0.98,0,13.74,0.98,1.96,0,65.77,0.98,0.98,1.96,0,0.98,3.93,0.98,0,0,0,0,7.85,1.96,4.91,0,0
 84-94,0,22.3,3.19,3.19,0,1.06,20.18,0,2.12,3.19,8.5,286.75,0,0,1.06,0,0,2.12,0,12.74,0,2.12,3.19,36.11,1.06,1.06,2.12,0,0,5.31,0,0,0,0,0,3.19,1.06,2.12,0,0
 96-106,0,10.93,0,2.19,2.19,1.09,22.95,0,2.19,0,4.37,371.57,0,0,2.19,1.09,1.09,3.28,0,9.84,0,0,0,62.29,0,1.09,2.19,0,0,6.56,0,0,0,1.09,0,0,1.09,0,1.09,0
108-118,0,9.96,0.77,3.06,0.77,2.3,13.79,0.77,3.83,2.3,2.3,405.96,0,1.53,0.77,0.77,1.53,3.83,0,13.79,0,0,0.77,48.26,4.6,0.77,0,0,0,6.13,0,0,1.53,0.77,0,0.77,0,0.77,1.53,0.77
120,0,7.84,0,7.84,0,0,17.64,0,5.88,1.96,5.88,235.17,0,0,0,0,0,0,0,5.88,0,0,1.96,66.63,3.92,1.96,3.92,0,1.96,1.96,0,0,0,0,0,1.96,0,0,1.96,0
