stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,0,0,1.64,0.82,0,0,0,0,0.82,0,0,21.34,0,0,0,0,0,14.78,0,0,4.1,0,0
 36-46,0,0,2.42,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,70.9,0,0,0,0.81,0,9.67,0,0,0.81,0,0
 48-58,0,0,1.72,1.15,6.31,0,0,1.15,0,0,0,0,0,0,1.15,0,0.57,119.35,0.57,0,0,0,0,15.49,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,28.46,0,0,0.98,0,0,0,0,0,0,1.96,0,0,354.33,0,0,0,0,0,20.61,0,0,2.94,0,0.98
 72-82,0,0,4.91,1.96,36.32,0.98,0,4.91,0,1.96,0,0,0,0,10.8,0.98,0,398.55,0,0.98,0,0,0,15.71,0,0,2.94,0,1.96
 84-94,0,0,3.19,3.19,26.55,0,1.06,7.43,0,0,1.06,1.06,0,0,5.31,0,0,206.04,1.06,0,0,1.06,0,13.81,0,1.06,2.12,0,0
 96-106,0,0,5.46,0,30.6,0,0,8.74,0,2.19,0,0,0,0,4.37,1.09,2.19,183.6,0,0,0,1.09,0,7.65,1.09,0,4.37,0,0
108-118,0,0,1.53,1.53,16.85,0,0,3.06,0,0.77,0,3.06,0.77,1.53,6.13,0,0.77,239.75,0.77,0.77,0,0,0,1.53,0,0,2.3,1.53,0
120,0,0,7.84,0,13.72,0,0,5.88,0,0,0,0,0,0,9.8,0,0,274.37,1.96,1.96,1.96,1.96,1.96,3.92,0,0,0,0,0
