stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,103,0,0,0,2,0,0,0,0,0
 24-34,1.64,0,0,5.75,4.1,0.82,0,0,0,0.82,0.82,0,0,0,0.82,2.46,0,0,27.09,0,0.82,0,0,352.15,0,1.64,4.1,9.03,0,0,0.82,0,0
 36-46,0,0,0,1.61,10.47,0.81,0,0,0,0.81,0,0,0,0,1.61,0.81,0,1.61,24.98,1.61,0.81,0,0,292.46,0,4.83,0.81,11.28,0,0,0.81,0,0
 48-58,4.59,0,0,8.61,12.62,0.57,0,1.72,0,0,0,0,0,0,6.89,0,0.57,2.3,23.53,0.57,0,0,0.57,188.21,0,6.89,0,6.31,0,0,0,0,0
 60-70,1.96,0,0,11.78,17.67,1.96,0,0.98,0,1.96,0.98,0,0,0,4.91,1.96,0,1.96,14.72,0,0.98,0,0,152.14,0,13.74,0,7.85,0,0,0,0,0
 72-82,9.82,1.96,0,12.76,39.27,1.96,1.96,0.98,0,0,0,0,0,0.98,14.72,0,0.98,3.93,19.63,0,0,0,0,122.71,0,11.78,0,0.98,0.98,0.98,0,0,0.98
 84-94,14.87,0,0,13.81,54.16,2.12,0,2.12,0,1.06,1.06,1.06,3.19,0,1.06,3.19,0,3.19,7.43,0,1.06,0,0,358.97,0,15.93,0,2.12,0,0,1.06,0,0
 96-106,21.86,2.19,0,10.93,125.68,1.09,0,2.19,1.09,0,1.09,0,0,2.19,10.93,3.28,1.09,8.74,21.86,0,2.19,0,0,170.48,0,14.21,0,0,1.09,0,0,1.09,2.19
108-118,18.38,0,0,9.19,109.53,1.53,0,2.3,0.77,0.77,3.83,0,1.53,0,9.19,3.06,0,13.02,13.02,0,0.77,0.77,0.77,163.15,0.77,21.45,0,1.53,0,0,0,0,0
120,19.6,0,1.96,0,64.67,0,0,1.96,0,0,0,0,1.96,0,0,0,0,19.6,5.88,1.96,0,0,0,97.99,0,3.92,0,0,0,0,0,0,0
