stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,61.3,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,21.03,31.54,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,9.44,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,16,2,0,0,0,355,0,5,0,1,7,0,0,0,0
 24-34,0,0,0.82,7.39,0,0,3.28,0,0,0,0.82,1.64,0,0,0,8.21,0.82,0.82,2.46,7.39,0,0.82,45.97,0.82,4.1,0.82,0,726.46,0,0,0,0,9.03,0,1.64,0,0
 36-46,0,0,0,4.03,0,0,1.61,0.81,4.03,0.81,0.81,0,0,0,0,4.83,0,0,0,5.64,0,1.61,28.2,0,4.03,0.81,0,673.54,0.81,0,0,0,8.86,0,0,0,0
 48-58,0,0,0,7.46,0.57,0,6.89,0,2.3,0,1.72,0,0.57,0,0,6.89,1.72,0,2.87,5.16,0,1.72,33.85,0.57,4.02,1.15,0,461.91,0,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,9.82,0,0,8.83,0,0.98,0,3.93,0,0,0.98,1.96,3.93,0.98,0,2.94,2.94,0,0,52.02,0,2.94,3.93,0,371.02,0,0,0,0,3.93,0.98,0,0,1.96
 72-82,0,0,0,28.47,0.98,0,3.93,0,6.87,0,4.91,0,0,0,20.61,11.78,0,0,13.74,3.93,1.96,0.98,36.32,0,1.96,2.94,0,346.53,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,40.36,0,0,3.19,0,10.62,1.06,5.31,0,0,0,25.49,13.81,0,0,9.56,8.5,0,3.19,19.12,0,4.25,7.43,0,721.12,0,0,0,0,1.06,2.12,1.06,0,0
 96-106,0,0,0,68.85,1.09,1.09,9.84,1.09,7.65,0,3.28,2.19,0,0,40.44,17.49,3.28,0,8.74,4.37,2.19,1.09,30.6,0,6.56,9.84,0,590.14,0,0,0,0,0,2.19,3.28,1.09,0
108-118,0,0,0,59.75,0,0,4.6,0,14.55,0.77,4.6,5.36,0,0,38.3,13.79,3.06,0,7.66,7.66,1.53,0.77,35.23,0.77,3.06,6.13,0,539.24,0,0,0,0,0,4.6,3.06,0.77,0
120,0,0,0,72.51,1.96,0,1.96,0,15.68,0,0,3.92,0,0,58.79,25.48,3.92,0,11.76,1.96,1.96,0,15.68,0,5.88,7.84,0,386.08,0,0,0,0,0,0,1.96,0,0
