stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,47,0,5,0,0,0,0,0,0,0,1,0,0,2,0,12,0,0,8,49,1,0,0,2,0,1,12,2,3,13,18,0,2,0,0
 24-34,0,0,0.82,39.4,0,7.39,1.64,0.82,0.82,0,0,4.93,0.82,0,0,0,4.93,0.82,29.55,0,0,19.7,50.89,3.28,0,0,0,0,1.64,0,9.85,0,4.93,12.31,0,7.39,0,0
 36-46,0,0,0,16.11,0,5.64,0,1.61,2.42,0.81,0,0,0,0,0,0.81,1.61,1.61,39.48,0,0.81,16.92,39.48,0.81,0,1.61,0,0,1.61,0,6.45,0,0,6.45,0,4.83,0,0.81
 48-58,0,0,0,7.46,0,5.74,1.15,2.87,6.89,0,0,0.57,0.57,0,0.57,0,1.15,1.72,33.85,0,1.15,8.03,15.49,1.15,0.57,1.15,0,0,0,0,5.74,0,0,2.3,0,6.31,0,0
 60-70,0,0,0,4.91,0,5.89,0,0,5.89,0,0,0,1.96,0,0,0,0.98,0,15.7,0,0,3.93,7.85,0.98,0,0,0,0,0,0,1.96,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,3.93,0.98,12.76,0,0,6.87,11.78,0,1.96,1.96,0,0.98,0,2.94,0,29.45,0,1.96,8.83,29.45,0.98,0,0.98,0,0,0,0,11.78,0,0,3.93,0.98,1.96,0.98,0
 84-94,0,0,1.06,10.62,1.06,3.19,2.12,5.31,4.25,7.43,0,0,9.56,0,3.19,0,15.93,0,32.92,0,2.12,10.62,10.62,2.12,0,1.06,0,1.06,0,0,19.12,0,0,1.06,0,6.37,0,0
 96-106,0,0,0,6.56,0,8.74,2.19,0,5.46,17.49,0,3.28,7.65,0,1.09,0,16.39,0,21.86,1.09,2.19,8.74,9.84,0,0,0,0,1.09,0,0,22.95,0,0,1.09,1.09,6.56,2.19,0
108-118,0,0,0,6.13,0,1.53,0,0,3.83,10.72,0,0,3.06,0,1.53,0.77,16.09,0,17.62,0,0.77,4.6,15.32,0,0,0,0,0.77,0,0,13.79,0,0,0,0.77,3.06,0,0
120,0,0,0,5.88,0,1.96,0,1.96,1.96,15.68,0,3.92,17.64,0,0,0,15.68,0,21.56,0,0,0,17.64,0,0,0,0,1.96,1.96,0,7.84,0,0,0,0,3.92,0,0
