stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,22.03,0,6.29,0,0,0,0,0
 14-21,0,0,3,2,2,1,2,0,21,1,0,0,0,0,0,3,0,0,30,0,5,6,3,0,18,1,59,0,0,0
 24-34,0,0,0,0.82,2.46,0,0.82,0,25.45,0,0,0,0,0.82,0,2.46,0,0.82,106.71,0.82,18.06,6.57,0,0,11.49,0,57.46,0,0,0
 36-46,0,0,0.81,0,0.81,0,11.28,0,15.31,0,0,0.81,0,0.81,0,3.22,0,1.61,162.75,0,21.75,3.22,0,0.81,2.42,0,53.98,0,0,0
 48-58,0,0,0.57,0,0,0,21.23,0,22.38,0,0,0,1.15,0,0.57,2.87,0,1.72,152.63,0,8.03,2.87,0,0,1.72,0,56.81,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,10.8,0,6.87,0,0,0.98,0.98,0,0,2.94,0,0.98,80.48,0,9.82,3.93,0,0,0.98,0,21.59,0,0,0
 72-82,0,0,4.91,0,1.96,0.98,26.5,0,15.71,0,0,0,2.94,0,0,0.98,0,0,60.86,0,32.39,7.85,0,0,1.96,0,11.78,0,0,0
 84-94,0,0,2.12,0,0,0,8.5,0,5.31,1.06,1.06,0,1.06,0,0,3.19,1.06,0,26.55,0,8.5,12.74,0,1.06,1.06,0,6.37,1.06,0,0
 96-106,0,0,0,0,0,1.09,5.46,0,15.3,0,0,1.09,6.56,0,0,3.28,0,0,24.04,0,25.14,10.93,0,0,2.19,0,9.84,0,0,0
108-118,0,0,1.53,0,0.77,0,7.66,0.77,8.43,0,0,0,4.6,0.77,0,3.06,0,0.77,22.98,0,15.32,10.72,0,0,1.53,0,4.6,0.77,0,0.77
120,0,0,0,0,0,0,7.84,0,5.88,0,0,0,0,0,0,1.96,0,0,27.44,0,15.68,5.88,0,0,3.92,0,5.88,0,1.96,0
