stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,1,1,0,3,12,2,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,0.82,0.82,0.82,0,0,0,0,0,0,2.46,0,3.28,64.03,2.46,0.82,1.64,0,2.46,0,0.82,1.64,5.75,19.7,0,0,0,0,0
 36-46,0,0.81,0,3.22,0,0,1.61,3.22,0,0,0,0,0,0,0.81,10.47,0,1.61,51.56,0,0.81,0,0,2.42,0,0,0,0,23.36,0,0,0.81,0,0
 48-58,0,0.57,0,14.35,0,0,1.15,2.87,0,0.57,0.57,0,0,0,0.57,16.64,0,2.87,78.61,1.72,0,0.57,0,1.15,0,0,0,0,18.36,0,0,2.87,0,0.57
 60-70,0,0,0,14.72,2.94,0,0,4.91,0,1.96,0.98,0,0.98,0,0,13.74,0,0.98,41.22,0.98,0,0,0,2.94,0,0,0,0,9.82,0.98,0,0.98,0.98,0
 72-82,0,1.96,0,37.3,0,1.96,0.98,3.93,0.98,0.98,0,0,1.96,0,0,21.6,0,0.98,69.7,0,0.98,1.96,0,2.94,0,0,0,0,4.91,0,0,1.96,0.98,0
 84-94,1.06,3.19,2.12,23.36,0,0,3.19,8.5,0,4.25,0,0,0,0,2.12,16.99,1.06,2.12,35.05,1.06,2.12,3.19,0,9.56,0,0,0,0,2.12,0,0,0,2.12,0
 96-106,1.09,7.65,3.28,36.06,0,1.09,1.09,8.74,2.19,3.28,3.28,3.28,0,1.09,1.09,24.04,1.09,2.19,42.62,0,3.28,2.19,0,7.65,0,0,0,0,2.19,0,2.19,4.37,2.19,3.28
108-118,0.77,3.83,0,16.85,0,0.77,0.77,3.06,1.53,3.06,1.53,3.06,0,0,3.83,9.96,0.77,3.83,26.04,0,0,2.3,0,6.13,0,0,0,0,1.53,0.77,0.77,1.53,1.53,0
120,0,1.96,1.96,9.8,0,0,0,5.88,0,3.92,1.96,1.96,0,0,0,5.88,0,3.92,23.52,0,1.96,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0
