stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,4.1,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,12.09,0,0.81,0,0,1.61,0,4.03,0,0.81,0,0,0.81,0,0,0
 48-58,0.57,0,18.94,0,0.57,0,0,1.15,0,5.16,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,41.22,0,0.98,0,0,2.94,0,14.72,0,0,0,0,2.94,0,0,0
 72-82,0,0,40.25,0.98,2.94,0,0.98,5.89,0,8.83,0,0,0.98,0.98,0,1.96,0.98,0.98
 84-94,0,0,30.8,0,1.06,0,1.06,0,0,6.37,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,16.39,0,1.09,0,0,5.46,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0.77,26.04,0,0,1.53,0,2.3,0.77,9.19,0,0.77,0.77,1.53,0,0,0,0
120,0,0,27.44,0,0,0,0,5.88,0,3.92,0,0,0,0,0,0,0,0
