stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,21,1,7,0,0,6,2,0,0,0,0,0,7,0,0,1,131,0,2,4,2,7,14,0,6,43,0,1,0,0
 24-34,0,0,4.93,1.64,24.63,0,0,2.46,0.82,0,0.82,0,1.64,0,7.39,0.82,0,0.82,252.82,0.82,6.57,5.75,0,21.34,0,0,2.46,58.28,0,2.46,0,0
 36-46,0.81,0.81,4.83,0,93.46,0,0,7.25,0,0,0,0,0.81,0,6.45,0,0,3.22,152.27,0.81,2.42,3.22,0,8.06,0,0,0,42.7,0,0.81,0,0
 48-58,0,0.57,5.16,0,118.2,0.57,0,10.33,0,0,0.57,0,1.15,1.15,12.62,0.57,0.57,2.3,109.02,0,0,2.3,0,6.89,0,0,0,26.4,0,1.15,0,0.57
 60-70,0,0,10.8,0,86.37,0,0,2.94,0.98,0,0,0,0.98,0.98,8.83,0,1.96,4.91,53.98,0,0,0.98,0,3.93,0,0,0,2.94,0,3.93,0,0
 72-82,0,0,5.89,0,30.43,0,0,7.85,3.93,0,0.98,0,0,1.96,12.76,0,0.98,1.96,37.3,0,1.96,0.98,0,2.94,0,0.98,0,5.89,0.98,2.94,0,0.98
 84-94,0,0,8.5,0,16.99,0,0,7.43,4.25,1.06,3.19,0,0,1.06,5.31,0,1.06,3.19,41.42,0,1.06,2.12,0,3.19,0,1.06,0,2.12,0,1.06,0,0
 96-106,0,0,4.37,0,16.39,0,0,8.74,5.46,1.09,2.19,0,1.09,1.09,7.65,0,1.09,3.28,51.36,0,1.09,2.19,0,5.46,0,0,0,5.46,0,1.09,0,0
108-118,0,0,3.83,0.77,20.68,0,0.77,6.89,5.36,0.77,0.77,0.77,0,0,6.89,0,2.3,1.53,29.87,0,0,3.06,0,4.6,0,0,0,0.77,1.53,3.06,0,0
120,1.96,0,3.92,0,9.8,0,0,15.68,1.96,0,1.96,0,0,1.96,3.92,0,0,0,56.83,0,0,3.92,0,1.96,0,0,0,1.96,0,0,1.96,1.96
