stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,pronephros,taste
  5-6,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0,0,2.87,0,0,0.57,1.72,1.15,0,0
 60-70,1.96,0,0,0.98,0,0,8.83,0,0.98,0,4.91,0,0,0
 72-82,0.98,0,1.96,0,0,0,27.49,0.98,0.98,0,4.91,0.98,0,0
 84-94,2.12,0,0,0,0,0,32.92,1.06,0,0,24.43,4.25,0,0
 96-106,14.21,1.09,1.09,0,1.09,0,65.57,0,1.09,1.09,33.88,13.11,0,0
108-118,15.32,0,0.77,0,0.77,0.77,45.96,0.77,1.53,1.53,22.21,9.96,0,0.77
120,1.96,0,0,0,0,1.96,23.52,0,0,0,19.6,3.92,0,0
