stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,3,0,0,0,26,0,0,0,0,0,0,2,0,0,1,6,10,0,0,2,0,0,0,112,0,29,0,0
 24-34,0,0,0,2.46,4.1,0.82,0.82,0,0,54.18,3.28,0,0,0,0.82,0,2.46,0,0,0,18.88,4.1,0,0,2.46,0,0.82,0.82,132.98,0,118.2,0,0
 36-46,0,0,0,0,0.81,0,2.42,0,0,45.12,0,0,0,0,0,0,1.61,0,0,0,18.53,3.22,0.81,0,3.22,0,0,0,95.07,0,67.68,0,0
 48-58,0.57,0,0,0,1.15,0,3.44,0.57,0,52.22,1.15,0,0.57,0,0,0,2.3,0,0,0.57,21.23,1.72,0.57,0,0.57,0,0,0,96.4,0,48.2,0,0.57
 60-70,0,0,0,0,0,0,5.89,0,0,38.28,1.96,0,0,0,0,0,19.63,0,0,1.96,10.8,0,0,0,1.96,0,0,0,50.06,0,41.22,0,0
 72-82,0,0,0.98,0,0.98,0.98,10.8,0,0,50.06,0.98,0,0,0,0,0,65.77,0.98,0,0,7.85,0,0,0,0,0,0,0,57.92,0.98,96.2,0,0.98
 84-94,0,0,0,0,1.06,0,6.37,0,0,47.79,0,0,1.06,0,0,0,77.53,0,0,0,5.31,0,0,0,0,0,0,0,43.54,1.06,70.09,0,0
 96-106,0,0,0,0,3.28,1.09,7.65,1.09,1.09,37.16,3.28,2.19,0,1.09,0,1.09,48.09,0,0,1.09,10.93,0,0,0,2.19,1.09,1.09,0,61.2,0,119.12,1.09,0
108-118,0,0,0,0,3.06,0,1.53,0.77,0.77,34.47,1.53,1.53,0,0,0.77,0,41.36,0,0,0,5.36,0,0,0,0.77,0,1.53,0,30.64,1.53,90.38,0,0
120,0,0,0,0,1.96,0,5.88,0,0,9.8,3.92,1.96,1.96,0,0,0,19.6,0,1.96,0,9.8,0,0,0,1.96,0,0,0,37.24,1.96,96.03,0,0
