stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,gut,ionocyte,iridophores,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,2,1,1,0,0,0,0,0,0,0,3,0,0,2,1,2,2
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,9.85,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,3.22,0,0,21.75,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.15,0,2.3,0.57,0,25.25,0,0,0
 60-70,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,17.67,0,0,0
 72-82,0,2.94,0.98,0,0,0,0,0,0,0,0,2.94,0.98,0,17.67,0,0,0
 84-94,0,2.12,0,0,0,0,0,0,0,0,1.06,1.06,0,0,72.22,0,0,0
 96-106,0,6.56,0,0,0,2.19,1.09,0,1.09,0,1.09,5.46,0,0,62.29,0,0,0
108-118,0,3.83,0,0,0.77,1.53,0.77,0.77,0,1.53,0,1.53,0,0,62.81,0,0,0
120,0,7.84,0,1.96,0,0,0,0,0,0,0,1.96,0,0,33.32,0,0,0
