stage,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,1,0
 24-34,0,1.64,0.82,0,0,0,0,0,0,0,0,4.1,0,0,6.57,0,0,0,0,2.46,0,0,0.82,0.82,0
 36-46,1.61,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0
 60-70,0.98,0,0.98,0,0,0.98,0.98,0,0,0,0.98,1.96,0,0.98,2.94,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,5.89,0,0,0,0,0,0,0,1.96,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,1.06,1.06,0,0,0,0,0,0,0,0,0,7.43,0,0,1.06,1.06,0,0,0,2.12,0,0,0,0,0
 96-106,1.09,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,3.28,1.09,0,0,1.09,5.46,0,0,0,0,1.09
108-118,0.77,0.77,0,0.77,1.53,0,0,0.77,0.77,0,0,3.83,0.77,0,0,0,0.77,0,0,1.53,0,0,0,0.77,1.53
120,0,0,0,1.96,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0
