stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,36.12,0,0,7.39,0,0
 36-46,0,0,0,0,0,2.42,0.81,0,0,0,0,0,75.73,0,0.81,10.47,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0.57,0,74.02,0,0,2.3,0.57,1.15
 60-70,0,0,0,0,0,16.69,0,0,0,0,0,0.98,216.92,0,0,23.56,0,0
 72-82,0,1.96,1.96,0,0,46.14,0,4.91,0,0.98,0.98,0,277.81,0,0,18.65,0,0
 84-94,0,0,1.06,1.06,0,26.55,0,3.19,1.06,1.06,1.06,0,146.56,0,0,14.87,0,0
 96-106,0,2.19,0,0,0,16.39,0,2.19,0,1.09,2.19,0,115.84,0,0,4.37,0,0
108-118,0,0,0.77,0,1.53,24.51,0,3.83,0,3.83,0.77,0,164.68,0,0,3.06,0,0
120,0,0,3.92,0,0,25.48,1.96,1.96,0,3.92,1.96,0,156.78,0,0,5.88,0,0
