stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,6,2,2,0,0,3,0,0,0,0,0,2,0,0,2,22,0,0,0,0,11,2,8,1
 24-34,0,0,0.82,0.82,0,0,4.93,0,0,0,0,0,0,0,0,4.1,0,0,0,27.91,0,0,1.64,0,6.57,0,16.42,0
 36-46,0,0,0,0,2.42,0,4.83,0,0,2.42,0.81,0,0,0,0,7.25,0,0.81,0,37.06,0,0.81,0,0,41.89,0,13.7,1.61
 48-58,0,0,0,0,0.57,0,4.59,0,0,0.57,0,0,0,0,0,1.15,0,0,0,21.8,0,0,0,0,8.03,0,5.16,0.57
 60-70,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0.98,0,0,0,18.65,0,1.96,0,0,8.83,0,4.91,0
 72-82,0,0,0,0,1.96,0,16.69,0,0.98,4.91,0,0,0,0,0,0,0,0,0,58.9,0,0.98,0.98,0,16.69,0,9.82,0
 84-94,0,0,0,0,2.12,0,10.62,0,0,0,0,0,0,1.06,1.06,2.12,0,0,0,14.87,0,0,0,0,11.68,0,3.19,0
 96-106,0,0,1.09,0,3.28,0,6.56,0,0,4.37,1.09,0,1.09,0,0,1.09,0,0,0,24.04,0,0,0,0,41.53,0,4.37,0
108-118,0,0,0,0,3.83,0,9.19,0.77,0,1.53,0,0,1.53,0,2.3,0.77,2.3,0,0,16.09,0.77,0,0,0,27.57,0,3.06,0
120,0,0,0,0,3.92,0,5.88,0,0,0,1.96,0,0,0,3.92,1.96,0,0,0,9.8,0,0,1.96,0,13.72,0,0,0
