stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,18.88,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,1,58,0,0,1,0,0,1,0,8,0,3,21,0,0,0,0,0
 24-34,0,0,0,1.64,3.28,0,0,20.52,0,0,0,0,0.82,0.82,0,1.64,0,0.82,0.82,0,14.78,0,0,7.39,126.41,0.82,2.46,0,0,0,6.57,0,0,0.82,3.28,32.01,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,29,0.81,0,0,0.81,0,0.81,0,0,0,0,0,0,12.09,0,0,5.64,145.83,0.81,1.61,1.61,0,0,7.25,0,0,0,0,30.62,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0.57,0,44.18,0,0,0.57,8.03,0,0,0,0.57,0,0.57,0.57,0,17.79,0,1.15,2.3,137.14,0,1.72,0.57,0,0,2.87,0,0,0.57,0,24.1,0,0,1.72,0,0.57
 60-70,0,0,0,0,1.96,0,0,58.89,0,0,0,11.78,0.98,0,0.98,0,0.98,0,0,0,15.7,0,0.98,3.93,133.49,0.98,4.91,0.98,0,0,4.91,0,0,0,0,20.61,0,0,0,0,0
 72-82,0,0,0,0,6.87,0,0,58.9,0,0.98,2.94,7.85,0.98,0.98,2.94,0,0,0.98,0,0,29.45,0.98,0.98,4.91,107.98,0.98,0.98,1.96,0,0,7.85,0,0,0,0,10.8,0,0,3.93,2.94,0.98
 84-94,0,0,0,0,9.56,0,0,37.17,0,1.06,2.12,9.56,2.12,0,0,0,2.12,0,0,0,25.49,0,1.06,1.06,69.03,0,2.12,3.19,0,0,11.68,0,0,0,0,9.56,1.06,1.06,1.06,1.06,0
 96-106,0,0,2.19,0,5.46,1.09,0,28.41,0,3.28,0,9.84,3.28,0,1.09,1.09,0,1.09,0,0,20.76,0,0,4.37,50.27,0,5.46,1.09,0,0,8.74,0,0,1.09,0,4.37,0,0,5.46,1.09,0
108-118,0,0,0,0,11.49,1.53,0.77,26.04,0.77,0,1.53,9.96,1.53,0,1.53,1.53,0.77,0,0,0.77,9.19,0,0.77,1.53,56.68,0.77,3.83,2.3,0,0.77,6.13,0,0,0.77,0,2.3,0,0,0.77,0,1.53
120,0,0,0,0,13.72,0,0,15.68,0,0,0,11.76,0,0,1.96,0,1.96,0,0,0,17.64,1.96,3.92,5.88,72.51,0,1.96,3.92,0,0,3.92,0,0,1.96,0,1.96,0,0,3.92,1.96,0
