stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,25.18,12.59,0,0,44.06,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,2,6,0,3,0,0,0,2,2,1,0,0,13,0,0,1,0,5,0,0,2,10,2,0,0,4,1,19,2,17,21,18,0,2,0
 24-34,0,0,0,0,2.46,0,0,3.28,0.82,0,1.64,0.82,0,0,2.46,0,25.45,0,0,0.82,0,6.57,0,0,6.57,34.48,0,0,1.64,0,0.82,0,2.46,6.57,10.67,11.49,0,8.21,0
 36-46,0,0,0,0,0,0,0,2.42,3.22,0.81,1.61,0.81,0,0,1.61,0,5.64,0.81,0,0.81,0,1.61,1.61,0,2.42,34.64,0,0,0.81,0,0,0,0,2.42,0,2.42,0,3.22,0.81
 48-58,0,0,0,0,0.57,0,0,6.31,1.15,0,1.15,1.15,0,0,0,0,1.72,0,0,0,1.15,4.02,1.15,0,2.87,13.2,0,0.57,0,0,0,0,0,1.15,0,4.02,0.57,4.59,0.57
 60-70,0,0,0,0,0,0,0,5.89,0.98,0,0.98,0.98,0,0,0,0,2.94,2.94,0,0,0,2.94,0,0,1.96,10.8,0,0,1.96,0,1.96,0,0,0.98,0,1.96,0,0.98,0
 72-82,0,0,0,0,0,0,0,4.91,1.96,0,0,0.98,0,0.98,0,0.98,8.83,1.96,0,0,0,10.8,1.96,0,0.98,5.89,0,0.98,0.98,0,1.96,0,0.98,1.96,0,0,1.96,4.91,0
 84-94,0,0,0,0,1.06,0,1.06,2.12,3.19,3.19,0,0,3.19,0,0,2.12,11.68,1.06,1.06,0,0,5.31,1.06,2.12,1.06,3.19,0,0,4.25,0,2.12,0,0,2.12,0,2.12,0,5.31,0
 96-106,0,0,1.09,0,1.09,0,0,3.28,1.09,1.09,0,3.28,0,0,0,2.19,9.84,3.28,0,0,0,4.37,0,0,0,3.28,0,1.09,5.46,0,1.09,0,0,1.09,0,3.28,0,3.28,0
108-118,0,0,0,0,0.77,0,1.53,2.3,3.83,2.3,0,0,2.3,0,0,0.77,13.79,5.36,0,0,0,2.3,0.77,0,0.77,4.6,0,0,4.6,0,2.3,0,0.77,0,0,0,0.77,4.6,0
120,0,0,0,0,0,0,0,0,5.88,3.92,0,1.96,1.96,0,0,0,1.96,1.96,0,0,0,0,1.96,0,1.96,3.92,0,0,0,0,0,0,1.96,0,0,0,0,11.76,0
