stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0.82,14.78,0,11.49,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,33.84,0,6.45,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0,4.59,0,0.57,0.57,0,20.08,0.57,10.9,0,1.15,0.57,0.57,1.72,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,0.98,0,0,0,10.8,0,0,0.98,0,9.82,0.98,22.58,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,7.85,0,0,0,1.96,0,0,0,28.47,0,0,0,0,17.67,0,52.03,0,1.96,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,1.06,0,0,48.85,1.06,0,0,0,13.81,1.06,69.03,0,1.06,0,0,2.12,1.06
 96-106,0,0,0,0,1.09,1.09,3.28,0,0,1.09,1.09,1.09,2.19,0,71.04,1.09,4.37,1.09,0,9.84,0,84.15,0,2.19,0,0,0,2.19
108-118,0,0,0.77,0,1.53,0,2.3,0.77,0.77,0,0.77,3.06,0.77,0.77,52.09,0.77,1.53,0,0,10.72,0.77,68.17,0,2.3,0.77,0,0,3.83
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,41.16,0,0,0,0,15.68,0,80.35,0,0,0,0,0,0
