stage,blastomeres,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,neural,periderm,somites,spinal_cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,1.72,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,2.94,0.98,0,0,0.98
 84-94,0,0,1.06,1.06,1.06,0,0,0,2.12,0,0,0,9.56
 96-106,0,1.09,0,0,1.09,0,0,0,1.09,0,0,0,5.46
108-118,0,2.3,0.77,0,3.06,0.77,0.77,0,0.77,0,0,0,17.62
120,0,0,0,0,5.88,0,0,0,5.88,0,0,0,11.76
